partition,cohort_events,year,quarter,cohort_time_index,cohort_treated_munis,att,se,ci_lo,ci_hi,p_val,sig
4-10,2014_M7.2_coyuquilla_norte,2014,2,6,19,0.10763737072483376,0.14989769560100155,-0.18616211265312926,0.4014368541027968,0.4727127592964447,
4-10,2014_M6.9_puerto_madero,2014,3,7,19,1.4352449885282015,0.8203386416570014,-0.17261874911952124,3.043108726175924,0.08019146421250171,*
4-10,2017_M7.1_matzaco; 2017_M8.2_chiapas,2017,3,19,764,0.8884711342280616,0.08799357621856091,0.7160037248396822,1.060938543616441,5.6958021923884955e-24,***
4-10,2018_M7.2_pinotepa,2018,1,21,149,0.956916832116827,0.15475220617807853,0.6536025080077931,1.2602311562258608,6.267887891073607e-10,***
4-10,2020_M7.4_Santa_Maria_Xadani,2020,2,30,221,0.49884459535825576,0.09586299167453409,0.31095313167616895,0.6867360590403426,1.9533355657781202e-7,***
4-10,2021_M7.0_acapulco,2021,3,35,15,0.05552153387577686,0.047415838666223446,-0.03741350991002109,0.1484565776615748,0.24161923510148905,
10-20,2014_M7.2_coyuquilla_norte,2014,2,6,19,-0.0744882717435464,0.18287347120930772,-0.4329202753137895,0.28394373182669674,0.6837719736671377,
10-20,2014_M6.9_puerto_madero,2014,3,7,19,0.505882672522006,0.4152194812822026,-0.30794751079111105,1.3197128558351232,0.2230909810029262,
10-20,2017_M7.1_matzaco; 2017_M8.2_chiapas,2017,3,19,764,0.8418394199097436,0.12470060430624487,0.5974262354695037,1.0862526043499836,1.4694619577379235e-11,***
10-20,2018_M7.2_pinotepa,2018,1,21,149,1.4210598342882153,0.2809232731364053,0.8704502189408608,1.9716694496355696,4.224926703731433e-7,***
10-20,2020_M7.4_Santa_Maria_Xadani,2020,2,30,221,0.3444316687974691,0.1266506425494002,0.09619640940064472,0.5926669281942936,0.006537250627226889,***
10-20,2021_M7.0_acapulco,2021,3,35,15,0.11259234826118354,0.039780438499086225,0.03462268880297455,0.19056200771939252,0.004649789690269191,***
20+,2014_M7.2_coyuquilla_norte,2014,2,6,19,-0.859057854380962,0.5704937949582968,-1.9772256924992235,0.25910998373729954,0.13211478837100896,
20+,2014_M6.9_puerto_madero,2014,3,7,19,-0.7225114750387946,0.47011842111081253,-1.6439435804159872,0.1989206303383979,0.12432484659344431,
20+,2017_M7.1_matzaco; 2017_M8.2_chiapas,2017,3,19,764,-0.5665907174612653,1.080296415972007,-2.683971692766399,1.5507902578438686,0.5999467523631593,
20+,2018_M7.2_pinotepa,2018,1,21,149,0.6423553201350721,1.0559747505250578,-1.4273551908940414,2.7120658311641854,0.5429848289878916,
20+,2020_M7.4_Santa_Maria_Xadani,2020,2,30,221,0.02891681464175329,0.2629393001598623,-0.4864442136715768,0.5442778429550834,0.9124290053670288,
20+,2021_M7.0_acapulco,2021,3,35,15,0.0639191884996734,0.10212384309666692,-0.13624354396979374,0.2640819209691405,0.5313813367455769,
