partition,cohort_events,year,quarter,cohort_time_index,cohort_treated_munis,att,se,ci_lo,ci_hi,p_val,sig
10-20,2014_M7.2_coyuquilla_norte,2014,2,6,19,-0.0744882717435464,0.18212394206009969,-0.43145119818134176,0.282474654694249,0.682541355780963,
10-20,2014_M6.9_puerto_madero,2014,3,7,19,0.505882672522006,0.407033699492871,-0.29190337848402115,1.303668723528033,0.21392235373939006,
10-20,2017_M7.1_matzaco; 2017_M8.2_chiapas,2017,3,19,764,0.8418394199097436,0.12532632470295585,0.5961998234919502,1.0874790163275372,1.8527567778677243e-11,***
10-20,2018_M7.2_pinotepa,2018,1,21,149,1.4210598342882153,0.26525526697867313,0.9011595110100159,1.9409601575664146,8.446106447323789e-8,***
10-20,2020_M7.4_Santa_Maria_Xadani,2020,2,30,221,0.3444316687974691,0.1402567957201346,0.06952834918600531,0.619334988408933,0.014060196275187717,**
10-20,2021_M7.0_acapulco,2021,3,35,15,0.11259234826118354,0.043042959449750916,0.02822814773967175,0.19695654878269533,0.008901520052396833,***
20+,2014_M7.2_coyuquilla_norte,2014,2,6,19,-0.859057854380962,0.5351467171667288,-1.9079454200277506,0.18982971126582637,0.10843321293719238,
20+,2014_M6.9_puerto_madero,2014,3,7,19,-0.7225114750387946,0.49878222637580233,-1.7001246387353672,0.25510168865777794,0.1474630235923474,
20+,2017_M7.1_matzaco; 2017_M8.2_chiapas,2017,3,19,764,-0.5665907174612653,1.0816940653393878,-2.6867110855264653,1.5535296506039349,0.6004180610819871,
20+,2018_M7.2_pinotepa,2018,1,21,149,0.6423553201350721,1.0892242185087118,-1.492524148142003,2.777234788412147,0.5553672948636532,
20+,2020_M7.4_Santa_Maria_Xadani,2020,2,30,221,0.02891681464175329,0.257630659049019,-0.476039277094324,0.5338729063778306,0.9106320386012178,
20+,2021_M7.0_acapulco,2021,3,35,15,0.0639191884996734,0.10137850875039504,-0.13478268865110088,0.2626210656504477,0.5283672528967371,
