partition,egt,att,se,ci_lo,ci_hi
4-10,-10,0.004060134731519811,0.028795529799287876,-0.05237910367508442,0.06049937313812404
4-10,-9,-5.378423572733262e-4,0.03097029828112545,-0.06123962698827921,0.060163942273732555
4-10,-8,-0.061068449026538345,0.023626030518525538,-0.1073754688428484,-0.014761429210228293
4-10,-7,0.026294428678809618,0.02114700120980825,-0.015153693692414549,0.06774255105003378
4-10,-6,-0.01808733891006883,0.03042636200513514,-0.0777230084401337,0.04154833061999605
4-10,-5,-0.023271859580185107,0.024470962043447717,-0.07123494518534262,0.024691226024972417
4-10,-4,0.10057348829913361,0.02252200808005442,0.05643035246222695,0.14471662413604028
4-10,-3,0.04980669866488183,0.022584823697961817,0.005540444216876668,0.09407295311288699
4-10,-2,0.09597092051077256,0.02871700986796703,0.039685581169557185,0.15225625985198793
4-10,-1,-0.034611097244110066,0.03145100371504365,-0.09625506452559562,0.027032870037375485
4-10,0,-0.07223247634529197,0.03636300080798749,-0.14350395792894743,-9.609947616364828e-4
4-10,1,0.08307615455531721,0.03244777189420552,0.019478521642674385,0.14667378746796003
4-10,2,0.16867232901620194,0.039491257324216,0.09126946466073857,0.2460751933716653
4-10,3,0.16197284451207505,0.06475710701335334,0.03504891476590252,0.28889677425824756
4-10,4,0.38991313654729,0.048164612971037093,0.29551049512405725,0.4843157779705227
4-10,5,0.3997921379286936,0.05320067495168124,0.2955188150233984,0.5040654608339888
4-10,6,0.614086283331038,0.06238982311350099,0.49180223002857604,0.7363703366334999
4-10,7,0.8696229829688976,0.07824059704925547,0.7162714127523568,1.0229745531854384
4-10,8,0.9897659614300465,0.08222988934501355,0.8285953783138199,1.150936544546273
4-10,9,0.9387677238665667,0.09646780481277811,0.7496908264335216,1.1278446212996118
4-10,10,1.0305785195597847,0.09863590770195828,0.8372521404639466,1.223904898655623
10-20,-10,-0.050994440725491946,0.028377208146676255,-0.10661376869297741,0.004624887241993517
10-20,-9,0.06470906738021771,0.07346617196760954,-0.079284629676297,0.2087027644367324
10-20,-8,-0.11000066353874925,0.04446701500286368,-0.19715601294436208,-0.022845314133136438
10-20,-7,0.008983541407791932,0.040221086100968244,-0.06984978735010582,0.08781687016568969
10-20,-6,0.013653609043169729,0.029157092555187506,-0.04349429236499778,0.07080151045133723
10-20,-5,0.06933258576117805,0.036341137544788085,-0.0018960438266065888,0.1405612153489627
10-20,-4,0.12746972812235857,0.046134787287062454,0.03704554503971616,0.21789391120500098
10-20,-3,-0.02795620887695768,0.03534765936072209,-0.09723762122397298,0.04132520347005761
10-20,-2,0.02154872418894942,0.043204521711924924,-0.06313213836642344,0.10622958674432227
10-20,-1,-0.006048041394908943,0.035411374596490366,-0.07545433560403006,0.06335825281421217
10-20,0,-0.08399533722332145,0.06043352003337129,-0.2024450364887292,0.03445436204208628
10-20,1,0.07714553478778143,0.04990409558542713,-0.020666492559655747,0.1749575621352186
10-20,2,0.13222707288126384,0.051878875772482035,0.03054447636719905,0.23390966939532865
10-20,3,0.10724155402925087,0.0872156634732815,-0.06370114637838087,0.2781842544368826
10-20,4,0.3164176679620678,0.07458231453037484,0.1702363314825331,0.46259900444160246
10-20,5,0.36041499957076073,0.0807926177597269,0.202061468761696,0.5187685303798255
10-20,6,0.5966229381786496,0.08418800257644174,0.43161445312882385,0.7616314232284754
10-20,7,0.8428153831447168,0.10595404377434624,0.6351454573469982,1.0504853089424355
10-20,8,0.9758580430759383,0.12184983936214461,0.7370323579261349,1.2146837282257417
10-20,9,0.9969718698948985,0.1406662906334747,0.7212659402532882,1.2726777995365088
10-20,10,1.1166566161089095,0.14515862796588505,0.8321457052957748,1.4011675269220443
20+,-10,-0.2756630421370619,0.40880932944818954,-1.0769293278555134,0.5256032435813895
20+,-9,0.12624725411256374,0.10170475341862954,-0.07309406258795015,0.3255885708130776
20+,-8,-0.2527484091709237,0.0866010854086975,-0.42248653657197083,-0.08301028176987663
20+,-7,0.18896186512049631,0.08163370160004756,0.028959809984403118,0.3489639202565895
20+,-6,-0.05134602848704303,0.05051830303534588,-0.15036190243632097,0.04766984546223489
20+,-5,0.3319780104241998,0.29120446752804363,-0.2387827459307657,0.9027387667791653
20+,-4,-0.010688462014327903,0.05623977228623895,-0.12091841569535625,0.09954149166670043
20+,-3,-0.0014131471194631226,0.04161614796584232,-0.08298079713251408,0.08015450289358783
20+,-2,0.011112081594435533,0.050578847763916704,-0.0880224600228412,0.11024662321171227
20+,-1,-0.03476916428476879,0.04811755400960757,-0.12907957014359964,0.05954124157406205
20+,0,-0.1582484927419912,0.07375010995560943,-0.30279870825498567,-0.01369827722899672
20+,1,-0.24414436446670545,0.21158150310389714,-0.6588441105503439,0.17055538161693296
20+,2,-0.6500685751253028,0.6078853117452776,-1.841523786146047,0.5413866358954413
20+,3,-0.9233029040063647,0.7432990573096188,-2.3801690563332176,0.533563248320488
20+,4,-0.7857968577677351,0.9332218214617083,-2.6149116278326834,1.043317912297213
20+,5,-0.9088162891497118,0.8977889969045092,-2.66848272308255,0.8508501447831263
20+,6,-0.5273073032852618,0.9140003486303518,-2.3187479866007514,1.264133380030228
20+,7,-0.46536299841612355,0.9472955058717843,-2.3220621899248206,1.3913361930925736
20+,8,-0.3645558393782576,0.9078433170762604,-2.143928740847728,1.4148170620912128
20+,9,-0.24709250218912154,0.9838433674367718,-2.1754255023651945,1.6812404979869513
20+,10,-0.3827077469164701,1.0558553576294778,-2.4521842478702465,1.6867687540373064
