partition,egt,att,se,ci_lo,ci_hi
10-20,-10,-0.050994440725491946,0.028007010879563688,-0.10588818204943677,0.003899300598452879
10-20,-9,0.06470906738021771,0.07503671460189117,-0.08236289323948896,0.21178102799992438
10-20,-8,-0.11000066353874925,0.04204332168775487,-0.1924055740467488,-0.02759575303074971
10-20,-7,0.008983541407791932,0.041246053111717355,-0.07185872269117408,0.08982580550675795
10-20,-6,0.013653609043169729,0.031059866776290437,-0.04722372983835953,0.07453094792469898
10-20,-5,0.06933258576117805,0.03584354314594706,-9.207588048781856e-4,0.1395859303272343
10-20,-4,0.12746972812235857,0.045781582397228515,0.03773782662379069,0.21720162962092646
10-20,-3,-0.02795620887695768,0.03623752643310503,-0.09898176068584354,0.04306934293192817
10-20,-2,0.02154872418894942,0.043887661344013604,-0.06447109204531724,0.10756854042321608
10-20,-1,-0.006048041394908943,0.03383878748827989,-0.07237206487193752,0.060275982082119636
10-20,0,-0.08399533722332145,0.061982780130138936,-0.20548158627839375,0.037490911831750864
10-20,1,0.07714553478778143,0.0474237456061398,-0.01580500660025258,0.17009607617581543
10-20,2,0.13222707288126384,0.05233383983953786,0.029652746795769624,0.23480139896675806
10-20,3,0.10724155402925087,0.086748457920527,-0.06278542349498206,0.2772685315534838
10-20,4,0.3164176679620678,0.07318550511983804,0.17297407792718522,0.4598612579969503
10-20,5,0.36041499957076073,0.083471018449167,0.1968118034103934,0.5240181957311281
10-20,6,0.5966229381786496,0.07890384377856066,0.44197140437267074,0.7512744719846285
10-20,7,0.8428153831447168,0.09776284157870246,0.65120021365046,1.0344305526389737
10-20,8,0.9758580430759383,0.10983312926153464,0.7605851097233304,1.1911309764285463
10-20,9,0.9969718698948985,0.14249635805332345,0.7176790081103845,1.2762647316794125
10-20,10,1.1166566161089095,0.13443653523627336,0.8531610070458138,1.3801522251720053
20+,-10,-0.2756630421370619,0.40974001169209073,-1.0787534650535597,0.5274273807794359
20+,-9,0.12624725411256374,0.10066957790841409,-0.07106511858792788,0.3235596268130554
20+,-8,-0.2527484091709237,0.08469859972168484,-0.41875766462542596,-0.08673915371642146
20+,-7,0.18896186512049631,0.08371896353902715,0.024872696584003096,0.35305103365698953
20+,-6,-0.05134602848704303,0.0506683508738709,-0.15065599619983,0.047963939225743935
20+,-5,0.3319780104241998,0.28493277394045985,-0.2264902264991015,0.890446247347501
20+,-4,-0.010688462014327903,0.04997017183123065,-0.10862999880353996,0.08725307477488417
20+,-3,-0.0014131471194631226,0.03968225778284539,-0.07919037237384009,0.07636407813491385
20+,-2,0.011112081594435533,0.05107247052940887,-0.08898996064320586,0.11121412383207693
20+,-1,-0.03476916428476879,0.05071617769340245,-0.1341728725638376,0.06463454399429999
20+,0,-0.1582484927419912,0.07691694356958576,-0.3090057021383793,-0.007491283345603145
20+,1,-0.24414436446670545,0.2218527439471429,-0.6789757426031056,0.19068701366969465
20+,2,-0.6500685751253028,0.579827593430508,-1.7865306582490985,0.4863935079984929
20+,3,-0.9233029040063647,0.8174831300762097,-2.5255698389557355,0.6789640309430061
20+,4,-0.7857968577677351,0.8542965732946884,-2.4602181414253246,0.8886244258898542
20+,5,-0.9088162891497118,0.8589699198096052,-2.592397331976538,0.7747647536771145
20+,6,-0.5273073032852618,0.9448465093509486,-2.379206461613121,1.3245918550425975
20+,7,-0.46536299841612355,0.9033392505551807,-2.2359079295042776,1.3051819326720306
20+,8,-0.3645558393782576,0.928143306859865,-2.1837167208235932,1.454605042067078
20+,9,-0.24709250218912154,0.9598771458052477,-2.128451707967407,1.634266703589164
20+,10,-0.3827077469164701,1.0513877400564335,-2.4434277174270798,1.6780122235941397
