us_state,state,municipality,matched_quarters,total_quarters,fully_matched,total_remittances_musd
Alabama,Baja California,San Quintin,0,48,FALSE,0
Alabama,Chiapas,Capitan Luis Angel Vidal,0,48,FALSE,0
Alabama,Chiapas,El Parral,0,48,FALSE,0
Alabama,Chiapas,Emiliano Zapata,0,48,FALSE,0
Alabama,Chiapas,Jiquipilas,0,48,FALSE,0.2527968306621
Alabama,Chiapas,Mezcalapa,0,48,FALSE,0
Alabama,Chiapas,Rincon Chamula San Pedro,0,48,FALSE,0
Alabama,Chihuahua,Temosachic,0,48,FALSE,8.27942811778596e-10
Alabama,Guerrero,Zihuatanejo De Azueta,0,48,FALSE,1.62323788091407
Alabama,Morelos,Coatetelco,0,48,FALSE,0
Alabama,Morelos,Xoxocotla,0,48,FALSE,0
Alabama,Morelos,Zacatepec,0,48,FALSE,0.645070295036107
Alabama,Morelos,Zacualpan De Amilpas,0,48,FALSE,0.0190853712650306
Alabama,Oaxaca,Animas Trujano,0,48,FALSE,5.62157098862847e-10
Alabama,Oaxaca,Heroica Ciudad De Juchitan De Zaragoza,0,48,FALSE,0.593919557930937
Alabama,Oaxaca,Nuevo Zoquiapam,0,48,FALSE,4.53196302003481e-10
Alabama,Oaxaca,San Andres Huayapam,0,48,FALSE,2.3146286563814e-10
Alabama,Oaxaca,San Andres Teotilalpam,0,48,FALSE,2.95853935536201e-11
Alabama,Oaxaca,San Felipe Tejalapam,0,48,FALSE,0.00137270000940965
Alabama,Oaxaca,San Jeronimo Tecoatl,0,48,FALSE,3.86965887958635e-12
Alabama,Oaxaca,San Mateo Yucutindoo,0,48,FALSE,0
Alabama,Oaxaca,San Pedro Sochiapam,0,48,FALSE,0.00245332059102758
Alabama,Oaxaca,San Pedro Totolapam,0,48,FALSE,0.0280255926406988
Alabama,Oaxaca,Santiago Choapam,0,48,FALSE,0.0788918931212315
Alabama,Oaxaca,Tamazulapam Del Espiritu Santo,0,48,FALSE,0.0531713184079545
Alabama,Puebla,Tilapa,0,48,FALSE,0.000278358643449666
Alabama,Quintana Roo,Bacalar,0,48,FALSE,0
Alabama,Quintana Roo,Puerto Morelos,0,48,FALSE,0
Alabama,Tlaxcala,Atltzayanca,0,48,FALSE,6.60166966764861e-11
Alabama,Tlaxcala,San Damian Texoloc,0,48,FALSE,0.000363694085393637
Alabama,Tlaxcala,Yauhquemehcan,0,48,FALSE,0.00860723949346474
Alabama,Tlaxcala,Ziltlaltepec De Trinidad Sanchez Santos,0,48,FALSE,4.88223516540616e-11
Alabama,Veracruz De Ignacio De La Llave,Alamo Temapache,0,48,FALSE,2.8296521466524
Alabama,Veracruz De Ignacio De La Llave,Cazones De Herrera,0,48,FALSE,1.44524569035395
Alabama,Veracruz De Ignacio De La Llave,Huiloapan De Cuauhtemoc,0,48,FALSE,5.53551177963089e-11
Alabama,Veracruz De Ignacio De La Llave,Tuxpan,0,48,FALSE,1.91370006514409
Alabama,Zacatecas,Teul De Gonzalez Ortega,0,48,FALSE,0.0386784813689458
Alaska,Baja California,San Quintin,0,48,FALSE,0
Alaska,Chiapas,Capitan Luis Angel Vidal,0,48,FALSE,0
Alaska,Chiapas,El Parral,0,48,FALSE,0
Alaska,Chiapas,Emiliano Zapata,0,48,FALSE,0
Alaska,Chiapas,Jiquipilas,0,48,FALSE,3.48469879218719e-10
Alaska,Chiapas,Mezcalapa,0,48,FALSE,0
Alaska,Chiapas,Rincon Chamula San Pedro,0,48,FALSE,0
Alaska,Chihuahua,Temosachic,0,48,FALSE,1.21406810960631e-10
Alaska,Guerrero,Zihuatanejo De Azueta,0,48,FALSE,0.0407203442982383
Alaska,Morelos,Coatetelco,0,48,FALSE,0
Alaska,Morelos,Xoxocotla,0,48,FALSE,0
Alaska,Morelos,Zacatepec,0,48,FALSE,0.0158132424210887
Alaska,Morelos,Zacualpan De Amilpas,0,48,FALSE,5.66561384755438e-11
Alaska,Oaxaca,Animas Trujano,0,48,FALSE,6.73849267183597e-11
Alaska,Oaxaca,Heroica Ciudad De Juchitan De Zaragoza,0,48,FALSE,0.015294172471234
Alaska,Oaxaca,Nuevo Zoquiapam,0,48,FALSE,7.29503997866464e-11
Alaska,Oaxaca,San Andres Huayapam,0,48,FALSE,2.83448481264624e-11
Alaska,Oaxaca,San Andres Teotilalpam,0,48,FALSE,4.06125753314564e-12
Alaska,Oaxaca,San Felipe Tejalapam,0,48,FALSE,1.22754278992475e-12
Alaska,Oaxaca,San Jeronimo Tecoatl,0,48,FALSE,5.7824623989498e-13
Alaska,Oaxaca,San Mateo Yucutindoo,0,48,FALSE,0
Alaska,Oaxaca,San Pedro Sochiapam,0,48,FALSE,4.07285571408491e-12
Alaska,Oaxaca,San Pedro Totolapam,0,48,FALSE,1.85007801375087e-10
Alaska,Oaxaca,Santiago Choapam,0,48,FALSE,6.04135741914664e-11
Alaska,Oaxaca,Tamazulapam Del Espiritu Santo,0,48,FALSE,9.91375217557544e-11
Alaska,Puebla,Tilapa,0,48,FALSE,3.42403097891069e-12
Alaska,Quintana Roo,Bacalar,0,48,FALSE,0
Alaska,Quintana Roo,Puerto Morelos,0,48,FALSE,0
Alaska,Tlaxcala,Atltzayanca,0,48,FALSE,9.16747921287835e-12
Alaska,Tlaxcala,San Damian Texoloc,0,48,FALSE,3.12644713529765e-05
Alaska,Tlaxcala,Yauhquemehcan,0,48,FALSE,1.54219724401369e-10
Alaska,Tlaxcala,Ziltlaltepec De Trinidad Sanchez Santos,0,48,FALSE,6.8477570766711e-12
Alaska,Veracruz De Ignacio De La Llave,Alamo Temapache,0,48,FALSE,0.0190798724066511
Alaska,Veracruz De Ignacio De La Llave,Cazones De Herrera,0,48,FALSE,0.00776916292943923
Alaska,Veracruz De Ignacio De La Llave,Huiloapan De Cuauhtemoc,0,48,FALSE,9.4915485048718e-12
Alaska,Veracruz De Ignacio De La Llave,Tuxpan,0,48,FALSE,7.93007589971594e-10
Alaska,Zacatecas,Teul De Gonzalez Ortega,0,48,FALSE,8.06346323617652e-10
Arizona,Baja California,San Quintin,0,48,FALSE,0
Arizona,Chiapas,Capitan Luis Angel Vidal,0,48,FALSE,0
