partition,cohort_events,year,quarter,cohort_time_index,cohort_treated_corridors,att,se,ci_lo,ci_hi,p_val,sig
4-10,2014_M7.2_coyuquilla_norte,2014,2,6,561,0.20799945153512098,0.02537505039890038,0.15826435275327622,0.25773455031696574,2.4644724754392564e-16,***
4-10,2014_M6.9_puerto_madero,2014,3,7,255,0.20990838759110095,0.030345787068804173,0.15043064493624478,0.26938613024595714,4.606029838993975e-12,***
4-10,2017_M7.1_matzaco; 2017_M8.2_chiapas,2017,3,19,22032,0.08385338853919808,0.006924596379842592,0.07028117963470659,0.09742559744368956,9.40676824994035e-34,***
4-10,2018_M7.2_pinotepa,2018,1,21,4284,-0.013389858407233304,0.009726516314032973,-0.03245383038273793,0.005674113568271324,0.16862526342446116,
4-10,2020_M7.4_Santa_Maria_Xadani,2020,2,30,7497,-0.12194377642501723,0.00806611205510715,-0.13775335605302724,-0.10613419679700722,1.2316043803903278e-51,***
4-10,2021_M7.0_acapulco,2021,3,35,204,0.007795485776224133,0.08492163031836315,-0.15865090964776765,0.17424188120021591,0.9268599369375567,
4-10,2022_M7.6_aguililla,2022,3,39,3621,0.023792297792861575,0.021563277970611538,-0.018471727029537036,0.06605632261526019,0.26986604048669066,
10-20,2014_M7.2_coyuquilla_norte,2014,2,6,306,0.12325846946734158,0.04337590710969204,0.03824169153234519,0.20827524740233797,0.004488293026482702,***
10-20,2014_M6.9_puerto_madero,2014,3,7,357,0.32797779207562777,0.047431780432446155,0.23501150242803331,0.42094408172322223,4.687666687531579e-12,***
10-20,2017_M7.1_matzaco; 2017_M8.2_chiapas,2017,3,19,10455,0.02685785174907296,0.008894190470087576,0.00942523842770131,0.04429046507044461,0.002530190896879826,***
10-20,2018_M7.2_pinotepa,2018,1,21,2040,0.15384872039331746,0.019657462480149986,0.11532009393222348,0.19237734685441144,5.017224419347153e-15,***
10-20,2020_M7.4_Santa_Maria_Xadani,2020,2,30,2652,-0.1327271859160866,0.011139010467151466,-0.15455964643170347,-0.11089472540046971,9.824239892756769e-33,***
10-20,2021_M7.0_acapulco,2021,3,35,255,0.09276787716223271,0.07332869129202185,-0.05095635777013012,0.23649211209459553,0.2058367058304184,
10-20,2022_M7.6_aguililla,2022,3,39,714,0.06715006364156827,0.04377639406374267,-0.018651668723367362,0.15295179600650388,0.12504609062858568,
20+,2014_M7.2_coyuquilla_norte,2014,2,6,102,0.0573037048373912,0.0929614692702956,-0.12490077493238816,0.23950818460717055,0.5376145463526809,
20+,2014_M6.9_puerto_madero,2014,3,7,357,0.25672792026855906,0.04223076493749657,0.1739556209910658,0.33950021954605236,1.20807638285916e-9,***
20+,2017_M7.1_matzaco; 2017_M8.2_chiapas,2017,3,19,6477,0.0465739411512731,0.010554372987480517,0.025887370095811286,0.06726051220673492,1.020599437255753e-5,***
20+,2018_M7.2_pinotepa,2018,1,21,1275,0.1861813839436698,0.027735787966669836,0.1318192395289969,0.24054352835834267,1.9108588780596956e-11,***
20+,2020_M7.4_Santa_Maria_Xadani,2020,2,30,1122,-0.12916412611227052,0.019593403184982816,-0.16756719635483683,-0.0907610558697042,4.33282699088095e-11,***
20+,2021_M7.0_acapulco,2021,3,35,306,0.08292986072336389,0.06440497965099037,-0.04330389939257723,0.209163620839305,0.1978743759899461,
20+,2022_M7.6_aguililla,2022,3,39,306,-0.07180399346631242,0.06276203109012923,-0.1948175744029657,0.05120958747034088,0.2525956878923104,
