partition,cohort_events,year,quarter,cohort_time_index,cohort_treated_corridors,att,se,ci_lo,ci_hi,p_val,sig
10-20,2014_M7.2_coyuquilla_norte,2014,2,6,306,0.1386896673617974,0.04603326316431774,0.048464471559734615,0.22891486316386017,0.0025883736598845764,***
10-20,2014_M6.9_puerto_madero,2014,3,7,357,0.3377327462917481,0.044097568927728724,0.25130151119339983,0.42416398139009637,1.8773521991114456e-14,***
10-20,2017_M7.1_matzaco; 2017_M8.2_chiapas,2017,3,19,10455,0.009584307709946182,0.008773808254027722,-0.007612356467948153,0.026780971887840517,0.27466735953145927,
10-20,2018_M7.2_pinotepa,2018,1,21,2040,0.13259683116713775,0.020405825897044892,0.09260141240892976,0.17259224992534572,8.14007824748059e-11,***
10-20,2020_M7.4_Santa_Maria_Xadani,2020,2,30,2652,-0.12049372535269769,0.010874093512869207,-0.14180694863792134,-0.09918050206747404,1.5546591795161134e-28,***
10-20,2021_M7.0_acapulco,2021,3,35,255,0.0930915288430772,0.06419534514143903,-0.03273134763414329,0.21891440532029768,0.1470225617082896,
10-20,2022_M7.6_aguililla,2022,3,39,714,0.10428272323681652,0.04561854091502616,0.014870383043365257,0.19369506343026777,0.02225587612464504,**
20+,2014_M7.2_coyuquilla_norte,2014,2,6,102,0.07273490273184684,0.0895712007853711,-0.10282465080748053,0.2482944562711742,0.4167718515460652,
20+,2014_M6.9_puerto_madero,2014,3,7,357,0.2664828744846794,0.048899728461144126,0.17063940670083688,0.3623263422685219,5.048953427362075e-8,***
20+,2017_M7.1_matzaco; 2017_M8.2_chiapas,2017,3,19,6477,0.02930039711214629,0.009697807998518358,0.01029269343505031,0.048308100789242275,0.0025165672576290595,***
20+,2018_M7.2_pinotepa,2018,1,21,1275,0.16492949471749002,0.02503598367752465,0.11585896670954171,0.21400002272543833,4.4669865760438775e-11,***
20+,2020_M7.4_Santa_Maria_Xadani,2020,2,30,1122,-0.11693066554888162,0.019519682737472868,-0.15518924371432843,-0.07867208738343481,2.0932831804157763e-9,***
20+,2021_M7.0_acapulco,2021,3,35,306,0.08325351240420853,0.058846108375943264,-0.03208486001264027,0.19859188482105733,0.15713692136212493,
20+,2022_M7.6_aguililla,2022,3,39,306,-0.034671333871064136,0.05951212693002278,-0.1513151026539088,0.08197243491178051,0.5601674850609497,
