partition,egt,att,se,ci_lo,ci_hi
4-10,-10,0.002238785246090329,0.0057100572564468535,-0.008952926976545504,0.013430497468726162
4-10,-9,-0.013446533630842583,0.002102696408665434,-0.017567818591826833,-0.009325248669858333
4-10,-8,-0.009587986949552709,0.0015078944544952093,-0.01254346008036332,-0.006632513818742098
4-10,-7,0.002171569314743567,6.954928994913003e-4,8.084032317406185e-4,0.0035347353977465156
4-10,-6,0.012319003316242222,0.00550397127048397,0.0015312196260936408,0.0231067870063908
4-10,-5,-0.015153324121490258,0.0023536231733706204,-0.019766425541296675,-0.010540222701683841
4-10,-4,-0.0049492369311243765,0.0015405057253415435,-0.007968628152793802,-0.0019298457094549513
4-10,-3,-0.002306589539317367,6.632274943619232e-4,-0.0036065154282667366,-0.0010066636503679978
4-10,-2,0.006662535144680411,0.005547959552646366,-0.004211465578506466,0.017536535867867287
4-10,-1,0.011384705353154638,0.002538655062112743,0.006408941431413662,0.016360469274895612
4-10,0,-0.0017797246523780985,0.0015103306284472901,-0.004739972684134787,0.0011805233793785903
4-10,1,-0.01121876929883373,0.001647229638469343,-0.014447339390233642,-0.007990199207433818
4-10,2,0.002017215108992808,0.0067351756239719465,-0.011183729113992208,0.015218159331977822
4-10,3,-0.0253345213076809,0.006817970847152969,-0.03869774416810072,-0.011971298447261082
4-10,4,-0.01960050469648397,0.0065220173886873746,-0.032383658778311224,-0.006817350614656714
4-10,5,-0.02511949480585247,0.006521002821090439,-0.03790066033518973,-0.01233832927651521
4-10,6,-0.00741205387171321,0.006609391515963671,-0.020366461243002006,0.005542353499575586
4-10,7,0.017259145015446956,0.007900529791577298,0.0017741066239554525,0.03274418340693846
4-10,8,0.02003898928004788,0.006803089516288975,0.0067049338281214895,0.03337304473197427
4-10,9,0.012027347206329832,0.007891457802702787,-0.00343991008696763,0.027494604499627297
4-10,10,0.04206474784662385,0.007349913261634205,0.027658917853820804,0.05647057783942689
10-20,-10,-0.011976072282259463,0.007811217879287384,-0.027286059325662734,0.0033339147611438098
10-20,-9,0.018532370302312005,0.0027187862933436852,0.013203549167358383,0.023861191437265627
10-20,-8,-0.03775330360222796,0.0028626668124098246,-0.04336413055455121,-0.0321424766499047
10-20,-7,0.004189404584256304,0.001084884459203652,0.002063031044217146,0.006315778124295462
10-20,-6,0.021695557338811358,0.008235489243544374,0.005553998421464385,0.037837116256158335
10-20,-5,-0.0149760110956031,0.0028820991788048042,-0.020624925486060514,-0.009327096705145683
10-20,-4,0.00869299886629082,0.0026811829408554806,0.003437880302214079,0.013948117430367562
10-20,-3,-0.003861968276602989,0.001051459073669053,-0.005922828060994333,-0.0018011084922116452
10-20,-2,-0.002503139434402925,0.008323411055301507,-0.01881702510279388,0.013810746233988029
10-20,-1,0.0041286212402959245,0.0028537601243047916,-0.0014647486033414672,0.009721991083933316
10-20,0,-4.393352102511149e-5,0.0025294524180302118,-0.005001660260364326,0.004913793218314103
10-20,1,-0.0019337288783600661,0.00278928872427169,-0.0074007347779325786,0.0035332770212124463
10-20,2,6.170050503968285e-4,0.008358475834909175,-0.015765607586025153,0.016999617686818812
10-20,3,-0.02233229263959005,0.009366637971689072,-0.04069090306410063,-0.003973682215079471
10-20,4,-0.006057474672892158,0.009141778306396477,-0.023975360153429253,0.011860410807644935
10-20,5,-0.012196635800626271,0.008835017101573426,-0.029513269319710184,0.005119997718457642
10-20,6,0.009096240108759954,0.010247289382064827,-0.010988447080087105,0.029180927297607014
10-20,7,0.02813788746579027,0.009798900421270965,0.00893204264009918,0.047343732291481366
10-20,8,0.03437728119867371,0.010125074575643869,0.01453213503041173,0.054222427366935694
10-20,9,0.018011083339594745,0.010494742496119255,-0.0025586119527989948,0.038580778631988485
10-20,10,0.018782502472152015,0.01040746216226245,-0.001616123365882384,0.039181128310186414
20+,-10,0.00368289130971527,0.009007943046016114,-0.013972677060476313,0.021338459679906854
20+,-9,-0.009786460518567332,0.003210561146521876,-0.01607916036575021,-0.0034937606713844552
20+,-8,-0.007861241942231974,0.004299082763805953,-0.01628744415929164,5.649602748276916e-4
20+,-7,0.010503485086497781,0.00115060809112177,0.008248293227899111,0.01275867694509645
20+,-6,0.015082583258776759,0.009771014972733033,-0.004068606087779985,0.0342337726053335
20+,-5,-0.026528529303957545,0.0027898126470357358,-0.03199656209214759,-0.021060496515767503
20+,-4,0.011765501399013502,0.003666172417193312,0.004579803461314611,0.018951199336712393
20+,-3,4.859511174108862e-4,0.001133903693254149,-0.0017365001213672459,0.0027084023561890183
20+,-2,-0.004147920054534427,0.009590757263282044,-0.02294580429056723,0.014649964181498379
20+,-1,-0.004785094423425777,0.0035136827896980376,-0.01167191269123393,0.0021017238443823763
20+,0,-0.008751901494585122,0.0036795155863579804,-0.015963752043846764,-0.0015400509453234812
20+,1,-0.012501698968841098,0.003972879974876806,-0.02028854371959964,-0.004714854218082557
20+,2,0.016676230048807875,0.010673594087072212,-0.004244014361853659,0.03759647445946941
20+,3,-0.021611831174040468,0.010976063831447086,-0.043124916283676755,-9.874606440418016e-5
20+,4,-0.013566255954534744,0.010961493784054154,-0.03505078377128089,0.007918271862211399
20+,5,-0.006799486974492639,0.01121655536641723,-0.028783935492670408,0.015184961543685128
20+,6,0.011270083833741767,0.01200870527051653,-0.012266978496470633,0.03480714616395417
20+,7,0.0054928594594632835,0.012174275209362657,-0.018368719950887527,0.029354438869814092
20+,8,0.014612999207455736,0.012765222747087555,-0.010406837376835872,0.039632835791747346
20+,9,0.01835994118871054,0.01183299957426982,-0.004832737976858303,0.04155262035427938
20+,10,0.08710694603723786,0.013272226623192399,0.061093381855780754,0.11312051021869496
