partition,egt,att,se,ci_lo,ci_hi
10-20,-10,-0.014437625710491593,0.007199235168554379,-0.028548126640858176,-3.271247801250113e-4
10-20,-9,0.02825071961623527,0.002552389870963307,0.02324803546914719,0.03325340376332335
10-20,-8,-0.03774151020345523,0.002846867801091701,-0.04332137109359496,-0.0321616493133155
10-20,-7,0.0029706937072483137,0.0010321501373883215,9.476794379672036e-4,0.004993707976529423
10-20,-6,0.01639887343727988,0.007826584568449098,0.001058767683119648,0.031738979191440114
10-20,-5,-0.007697912027334569,0.0026253641281205053,-0.012843625718450758,-0.002552198336218379
10-20,-4,0.007357177133381034,0.0029208497641628607,0.001632311595621827,0.013082042671140241
10-20,-3,-0.0054897336895389235,0.001055378698227677,-0.00755827593806517,-0.003421191441012677
10-20,-2,-0.006140282179297023,0.007854193667953868,-0.021534501768486605,0.009253937409892558
10-20,-1,0.0064548639449700925,0.0029217380775754444,7.282573129222215e-4,0.012181470577017964
10-20,0,0.0034296380816399258,0.002538956183795655,-0.001546716038599558,0.00840599220187941
10-20,1,0.0020418039006174157,0.00261612212132154,-0.003085795457172802,0.007169403258407633
10-20,2,-0.004467775643019179,0.008281741986329237,-0.020699989936224485,0.011764438650186126
10-20,3,-0.016828428788075854,0.008502181239466272,-0.03349270401742975,-1.6415355872196127e-4
10-20,4,-8.312136663366113e-5,0.008910920774984388,-0.01754852608560306,0.017382283352335742
10-20,5,-0.008341173187614678,0.009024599643430739,-0.026029388488738925,0.00934704211350957
10-20,6,0.003911370912379936,0.009261488867102846,-0.014241147267141641,0.022063889091901514
10-20,7,0.022016510992099572,0.009487737655439005,0.0034205451874391238,0.04061247679676002
10-20,8,0.02572566990340114,0.00981881784524075,0.006480786926729272,0.04497055288007301
10-20,9,0.011602467179041223,0.009426315738204412,-0.006873111667839426,0.030078046025921873
10-20,10,-0.004655419342935006,0.010853614710068788,-0.025928504174669832,0.016617665488799817
20+,-10,0.0011664788548803044,0.008667955152911584,-0.0158227132448264,0.01815567095458701
20+,-9,0.0011178779433986573,0.0029386497932703416,-0.004641875651411212,0.006877631538208527
20+,-8,-0.008617345216715077,0.004116988349311925,-0.01668664238136645,-5.480480520637029e-4
20+,-7,0.009113619100486633,0.0011262629698188665,0.006906143679641655,0.01132109452133161
20+,-6,0.009326084983872888,0.009029622411541434,-0.008371974942748321,0.027024144910494097
20+,-5,-0.018137216642031433,0.0026450367651410338,-0.02332148870170786,-0.012952944582355005
20+,-4,0.009806406300778146,0.0035925197181489042,0.0027650676532062933,0.016847744948349997
20+,-3,-9.583055090632175e-4,0.001154298108762804,-0.0032207298022383134,0.0013041187841118787
20+,-2,-0.007124339551026388,0.009120769030352575,-0.025001046850517437,0.01075236774846466
20+,-1,-0.0011869627313540103,0.00341860489779837,-0.007887428331038816,0.005513502868330795
20+,0,-0.006368652934155957,0.0035582782652902704,-0.013342878334124886,6.055724658129728e-4
20+,1,-0.009104703246220558,0.0037107626098918023,-0.01637779796160849,-0.0018316085308326263
20+,2,0.010139233565733133,0.009382969525167605,-0.008251386703595374,0.02852985383506164
20+,3,-0.016939670147917037,0.010366472585335221,-0.03725795641517407,0.003378616119339997
20+,4,-0.00841293485096849,0.01101974821506731,-0.03001164135250042,0.013185771650563439
20+,5,-0.0037876651585436,0.010798186172426092,-0.02495211005649874,0.017376779739411537
20+,6,0.005235729910710017,0.011469301437100055,-0.01724410090600609,0.027715560727426123
20+,7,-4.0762639383551055e-5,0.011683511531078628,-0.02294044524029766,0.022858919961530562
20+,8,0.0060571889163233555,0.012294124301204355,-0.01803929471403718,0.030153672546683892
20+,9,0.009922671991068131,0.011643755140725683,-0.012899088084754207,0.03274443206689047
20+,10,0.06172789539047376,0.012329368230441855,0.03756233365880773,0.0858934571221398
