partition,egt,att,se,ci_lo,ci_hi
4-10,-10,0.02384415625296405,0.12161168848985086,-0.21451475318714364,0.2622030656930717
4-10,-9,0.023221272188739542,0.05208916117816916,-0.07887348372047201,0.1253160280979511
4-10,-8,0.07977399189956397,0.13546884693207722,-0.1857449480873074,0.34529293188643534
4-10,-7,-0.04619306406830582,0.03513903443552565,-0.11506557156193609,0.022679443425324457
4-10,-6,-0.02526551990775821,0.104056671492399,-0.22921659603286026,0.17868555621734383
4-10,-5,-0.02759457253175878,0.13008471182629786,-0.2825606077113026,0.22737146264778502
4-10,-4,0.032630177265413736,0.12070052462177668,-0.20394285099326856,0.26920320552409605
4-10,-3,-0.03131604428521262,0.018865510652894425,-0.0682924451648857,0.005660356594460451
4-10,-2,0.023361826107260012,0.03610230338706003,-0.04739868853137766,0.09412234074589768
4-10,-1,-0.04220896265824948,0.03324530840443066,-0.10736976713093357,0.02295184181443461
4-10,0,0.00986665840324863,0.01882496173871574,-0.027030266604634222,0.04676358341113148
4-10,1,-0.013729871443925123,0.013940782009168774,-0.04105380418189592,0.013594061294045674
4-10,2,0.006881071989239651,0.04793303740555358,-0.08706768132564537,0.10082982530412467
4-10,3,0.0063668869904374694,0.028771986004013324,-0.050026205577428644,0.06275997955830358
4-10,4,0.026068768793699234,0.04415450960689858,-0.060474070035821975,0.11261160762322045
4-10,5,-0.019033155077930186,0.017954244460291254,-0.05422347422010104,0.01615716406424067
4-10,6,-0.017622594222676424,0.02142319867054805,-0.0596120636169506,0.024366875171597753
4-10,7,-0.03293795121761767,0.014253526183688338,-0.060874862537646804,-0.005001039897588527
4-10,8,-0.08872430190392984,0.092774610629086,-0.2705625387369384,0.09311393492907873
4-10,9,-0.08938347931238427,0.09476878425773148,-0.27513029645753795,0.09636333783276943
4-10,10,-0.22339066709322974,0.0804009621672879,-0.380976552941114,-0.06580478124534547
10-20,-10,-0.10817557702033459,0.05256850706359682,-0.21120985086498437,-0.005141303175684814
10-20,-9,0.05597583368039476,0.040924856186445674,-0.024236884445038756,0.13618855180582828
10-20,-8,-0.028239527109634083,0.02154842471060243,-0.07047443954241485,0.013995385323146679
10-20,-7,-0.010117953513461304,0.027732666668711603,-0.06447398018413604,0.04423807315721344
10-20,-6,0.028056089127378545,0.04142245797744804,-0.05313192850841962,0.10924410676317671
10-20,-5,0.22185982048200079,0.07037404056371434,0.08392670097712068,0.3597929399868809
10-20,-4,-0.2560612033188446,0.06455385515771167,-0.38258675942795944,-0.1295356472097297
10-20,-3,0.007692826291970286,0.014181539208798654,-0.020102990557275074,0.035488643141215644
10-20,-2,-0.06099657124294366,0.03564539668394928,-0.13086154874348424,0.008868406257596932
10-20,-1,0.013527697413132903,0.02343049387848299,-0.03239607058869376,0.05945146541495956
10-20,0,-0.03145499133266767,0.010388548559840704,-0.05181654650995546,-0.011093436155379891
10-20,1,-0.054626751325641695,0.017281239311027062,-0.08849798037525473,-0.020755522276028657
10-20,2,-0.07961889122349276,0.025066072433204304,-0.1287483931925732,-0.03048938925441233
10-20,3,0.030687182856769617,0.07654686031633227,-0.11934466336324163,0.18071902907678086
10-20,4,-0.008200345030206276,0.06846397329961557,-0.14238973269745278,0.12598904263704022
10-20,5,-0.022259023643514526,0.04964322989455235,-0.11955975423683714,0.07504170694980809
10-20,6,-0.00894655074141082,0.053685147178979084,-0.11416943921220982,0.09627633772938818
10-20,7,-0.03615812623589716,0.0495138147282088,-0.1332052031031864,0.06088895063139209
10-20,8,-0.19823367315565738,0.061335067287738104,-0.3184504050396241,-0.07801694127169069
10-20,9,-0.15263326920744053,0.036826458327849705,-0.22481312753002594,-0.08045341088485511
10-20,10,-0.1263342438024715,0.05900399833253759,-0.24198208053424516,-0.010686407070697818
