partition,egt,att,se,ci_lo,ci_hi
10-20,-10,-0.11612362910465597,0.04973250473477044,-0.21359933838480605,-0.018647919824505907
10-20,-9,0.048235409617481566,0.033524630748708185,-0.017472866649986478,0.1139436858849496
10-20,-8,-0.05483085774282208,0.047709054270935074,-0.1483406041138548,0.03867888862821066
10-20,-7,0.0052797345093073,0.01999029363611829,-0.03390124101748455,0.044460710036099145
10-20,-6,0.03647792909663129,0.039119778339616065,-0.0401968364490162,0.11315269464227878
10-20,-5,0.2310580113259204,0.05747069707854155,0.11841544505197897,0.34370057759986183
10-20,-4,-0.26693792907398245,0.05372584483028966,-0.37224058494135015,-0.16163527320661472
10-20,-3,0.01813150772037449,0.013018786219845424,-0.007385313270522539,0.04364832871127152
10-20,-2,-0.06878384661203034,0.03540919808695181,-0.13818587486245587,6.181816383952071e-4
10-20,-1,0.027597351632549397,0.023020742610273533,-0.017523303883586725,0.07271800714868552
10-20,0,-0.034743877467083885,0.008908937437478556,-0.052205394844541855,-0.017282360089625918
10-20,1,-0.05005012751099998,0.017778832272881774,-0.08489663876584826,-0.0152036162561517
10-20,2,-0.08191258188657265,0.023980956089376178,-0.12891525582174995,-0.03490990795139534
10-20,3,0.02856488719329046,0.08248650635454047,-0.13310866526160886,0.19023843964818976
10-20,4,-0.016889934628106028,0.07137575114502756,-0.15678640687236006,0.12300653761614799
10-20,5,-0.015914638617537797,0.05577445974186985,-0.1252325797116027,0.0934033024765271
10-20,6,-0.003072352667185343,0.04761102812272433,-0.09638996778772503,0.09024526245335433
10-20,7,-0.02517880916335794,0.049956709950760445,-0.12309396066684841,0.07273634234013251
10-20,8,-0.16865890585434742,0.0679135602734655,-0.30176948399033976,-0.03554832771835506
10-20,9,-0.12283877610331242,0.044776218767392816,-0.21060016488740235,-0.03507738731922251
10-20,10,-0.05187068810472824,0.06437678892689354,-0.17804919440143957,0.07430781819198311
