sender_id,event,dose,G,partition
New York,2017_M7.1_matzaco,15.2429002621369,19,10-20
Connecticut,2017_M7.1_matzaco,13.0524414685807,19,10-20
New Jersey,2017_M7.1_matzaco,12.6398891769987,19,10-20
Minnesota,2017_M7.1_matzaco,9.7144410479325,19,4-10
District Of Columbia,2017_M7.1_matzaco,8.51016054418881,19,4-10
Pennsylvania,2017_M7.1_matzaco,8.50866145258644,19,4-10
Maryland,2017_M7.1_matzaco,7.65915596607473,19,4-10
Delaware,2017_M7.1_matzaco,6.89236150537744,19,4-10
Rhode Island,2017_M7.1_matzaco,6.60266155234393,19,4-10
Massachusetts,2017_M7.1_matzaco,6.19016486346813,19,4-10
Indiana,2017_M7.1_matzaco,5.10750667763368,19,4-10
Vermont,2017_M8.2_chiapas,4.85833802744126,19,4-10
Wyoming,2017_M7.1_matzaco,4.58471167356532,19,4-10
Maine,2017_M7.1_matzaco,4.52529053956722,19,4-10
Illinois,2017_M7.1_matzaco,4.46660622536652,19,4-10
South Carolina,2017_M7.1_matzaco,4.26477348274999,19,4-10
Kentucky,2017_M7.1_matzaco,4.22743468573463,19,4-10
Virginia,2017_M7.1_matzaco,4.14811570047302,19,4-10
Wisconsin,2017_M7.1_matzaco,4.08070185617968,19,4-10
