state,municipality,matched_quarters,total_quarters,fully_matched
Chiapas,Cintalapa,0,48,FALSE
Chihuahua,Rosario,0,48,FALSE
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,0,48,FALSE
Guerrero,Apaxtla,0,48,FALSE
Oaxaca,Miahuatlán de Porfirio Díaz,0,48,FALSE
Oaxaca,San Blas Atempa,0,48,FALSE
Oaxaca,San Juan Mixtepec -Dto. 08 -,0,48,FALSE
Oaxaca,San Juan Mixtepec -Dto. 26 -,0,48,FALSE
Oaxaca,San Martín de los Cansecos,0,48,FALSE
Oaxaca,San Pedro Mixtepec -Dto. 22 -,0,48,FALSE
Oaxaca,San Pedro Mixtepec -Dto. 26 -,0,48,FALSE
Oaxaca,Santiago Chazumba,0,48,FALSE
Oaxaca,Santo Domingo Tonaltepec,0,48,FALSE
Oaxaca,Villa Hidalgo,0,48,FALSE
Oaxaca,Zapotitlán del Río,0,48,FALSE
San Luis Potosí,Ahualulco,0,48,FALSE
Tlaxcala,Altzayanca,0,48,FALSE
Aguascalientes,Aguascalientes,48,48,TRUE
Aguascalientes,Asientos,48,48,TRUE
Aguascalientes,Calvillo,48,48,TRUE
Aguascalientes,Cosío,48,48,TRUE
Aguascalientes,El Llano,48,48,TRUE
Aguascalientes,Jesús María,48,48,TRUE
Aguascalientes,Pabellón de Arteaga,48,48,TRUE
Aguascalientes,Rincón de Romos,48,48,TRUE
Aguascalientes,San Francisco de los Romo,48,48,TRUE
Aguascalientes,San José de Gracia,48,48,TRUE
Aguascalientes,Tepezalá,48,48,TRUE
Baja California,Ensenada,48,48,TRUE
Baja California,Mexicali,48,48,TRUE
Baja California,Playas de Rosarito,48,48,TRUE
Baja California,Tecate,48,48,TRUE
Baja California,Tijuana,48,48,TRUE
Baja California Sur,Comondú,48,48,TRUE
Baja California Sur,La Paz,48,48,TRUE
Baja California Sur,Loreto,48,48,TRUE
Baja California Sur,Los Cabos,48,48,TRUE
Baja California Sur,Mulegé,48,48,TRUE
Campeche,Calakmul,48,48,TRUE
Campeche,Calkiní,48,48,TRUE
Campeche,Campeche,48,48,TRUE
Campeche,Candelaria,48,48,TRUE
Campeche,Carmen,48,48,TRUE
Campeche,Champotón,48,48,TRUE
Campeche,Escárcega,48,48,TRUE
Campeche,Hecelchakán,48,48,TRUE
Campeche,Hopelchén,48,48,TRUE
Campeche,Palizada,48,48,TRUE
Campeche,Tenabo,48,48,TRUE
Chiapas,Acacoyagua,48,48,TRUE
Chiapas,Acala,48,48,TRUE
Chiapas,Acapetahua,48,48,TRUE
Chiapas,Aldama,48,48,TRUE
Chiapas,Altamirano,48,48,TRUE
Chiapas,Amatenango de la Frontera,48,48,TRUE
Chiapas,Amatenango del Valle,48,48,TRUE
