period_date,year,quarter,year_quarter,us_state,remittances_musd,remittances_kusd,asinh_remittances,mean_pga,max_pga,dominant_event,event_weight,matched_flow_musd,unmatched_flow_musd,matched_flow_share,exposed_flow_musd,exposed_flow_share,light_flow_share,moderate_flow_share,heavy_flow_share,recipient_municipalities,exposed_recipient_municipalities
2013-01-01,2013,1,2013Q1,Alabama,46.995605,46995.605,11.4509565463546,0,0,"",0,46.9442846670567,0.0513203329433424,0.998907975906612,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Alaska,8.924355,8924.355,9.78968651882766,0,0,"",0,8.92435499815323,1.84677615027704e-09,0.999999999793063,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Arizona,121.102347,121102.347,12.3975384906075,0,0,"",0,121.047783991975,0.0545630080252152,0.999549447146345,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Arkansas,38.739154,38739.154,11.2577532795554,0,0,"",0,38.6937922269635,0.0453617730364759,0.99882904585277,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,California,1403.262699,1403262.699,14.8474577630296,0,0,"",0,1402.21246092032,1.05023807968083,0.999251574148996,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Colorado,117.245123,117245.123,12.3651692711388,0,0,"",0,117.163501284629,0.0816217153715009,0.999303837010163,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Connecticut,15.838646,15838.646,10.3633553634733,0,0,"",0,15.8229140701141,0.0157319298859083,0.999006737704353,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Delaware,9.4098,9409.8,9.84265416175182,0,0,"",0,9.39757715819107,0.0122228418089264,0.998701051902386,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,District Of Columbia,3.287955,3287.955,8.79116827363632,0,0,"",0,3.28795499909514,9.04863497697267e-10,0.999999999724795,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Florida,218.941865,218941.865,12.9897086975029,0,0,"",0,206.454521210856,12.4873437891437,0.942965025034642,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Georgia,153.676744,153676.744,12.6357537909067,0,0,"",0,153.464896927427,0.211847072573265,0.998621476047324,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Hawaii,3.315527,3315.527,8.79951906764612,0,0,"",0,3.31552699931955,6.80452575506735e-10,0.999999999794768,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Idaho,19.133225,19133.225,10.5523288128455,0,0,"",0,19.0149193098083,0.118305690191747,0.993816740764207,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Illinois,259.211669,259211.669,13.1585474423007,0,0,"",0,259.072230610943,0.139438389057472,0.999462067469434,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Indiana,56.093548,56093.548,11.6279232566235,0,0,"",0,56.0505379493069,0.0430100506930902,0.999233244245968,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Iowa,21.464725,21464.725,10.6673133501255,0,0,"",0,21.457856545028,0.00686845497204747,0.999680011974435,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Kansas,39.895322,39895.322,11.2871615336137,0,0,"",0,39.8606138431072,0.0347081568928097,0.999130019381901,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Kentucky,30.570408,30570.408,11.0209349420413,0,0,"",0,30.5478836069602,0.0225243930398492,0.999263196191564,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Louisiana,58.049193,58049.193,11.6621932658548,0,0,"",0,57.9586682936124,0.0905247063876155,0.998440551854224,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Maine,1.918004,1918.004,8.25218758946495,0,0,"",0,1.91800399961866,3.81340509483296e-10,0.999999999801178,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Maryland,31.855097,31855.097,11.0620998604001,0,0,"",0,31.7987292215677,0.0563677784322766,0.998230494214716,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Massachusetts,9.492873,9492.873,9.85144376884777,0,0,"",0,9.44721394064394,0.0456590593560593,0.995190174844216,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Michigan,40.373004,40373.004,11.2990638034837,0,0,"",0,40.3202775229797,0.0527264770203168,0.998694016501216,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Minnesota,71.828277,71828.277,11.8751806881976,0,0,"",0,71.777427439019,0.0508495609810281,0.999292067649332,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Mississippi,23.245973,23245.973,10.7470343727354,0,0,"",0,23.2399026733819,0.00607032661812412,0.999738865453465,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Missouri,26.816833,26816.833,10.8899322472511,0,0,"",0,26.7977642641469,0.0190687358530682,0.999288926628545,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Montana,0.975621,975.621,7.57622163453539,0,0,"",0,0.975620999762638,2.37362270036306e-10,0.999999999756706,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Nebraska,22.497815,22497.815,10.7143206534197,0,0,"",0,22.4792789632884,0.0185360367116279,0.99917609613593,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,Nevada,61.996394,61996.394,11.7279786816705,0,0,"",0,61.8895989609223,0.106795039077746,0.998277399181027,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,New Hampshire,2.848132,2848.132,8.64756583115146,0,0,"",0,2.84813199946135,5.38653005181796e-10,0.999999999810875,0,0,0,0,0,2451,0
2013-01-01,2013,1,2013Q1,New Jersey,89.916528,89916.528,12.0997842328733,0,0,"",0,89.8215608768009,0.0949671231990491,0.99894383017993,0,0,0,0,0,2451,0
