us_state,total_flow_musd,matched_flow_musd,matched_flow_share,unmatched_recipient_pairs,total_recipient_pairs
Alabama,3776.380562,3766.8460115614,0.99747521461832,37,2451
Alaska,644.891888,644.79317993817,0.999846938589759,37,2451
Arizona,13475.171688,13443.5843495153,0.997655886009023,37,2451
Arkansas,3109.289853,3099.5811289778,0.996877510788247,37,2451
California,149326.261861,148823.074530658,0.996630282416028,37,2451
Colorado,13025.87553,12990.9437510648,0.99731827784975,37,2451
Connecticut,1171.729301,1169.21932031495,0.997857883486474,37,2451
Delaware,748.062045,745.19593076709,0.996168614285316,37,2451
District Of Columbia,366.471508,363.949590494377,0.993118380418203,37,2451
Florida,16777.598869,16671.6478560009,0.993684971620408,37,2451
Georgia,15684.91898,15619.7289608984,0.99584377712217,37,2451
Hawaii,804.175424,800.545480654014,0.995486129969092,37,2451
Idaho,2127.478337,2112.15823063497,0.992798936610265,37,2451
Illinois,18396.136549,18348.0416699894,0.997385598933643,37,2451
Indiana,5195.091041,5180.96598549481,0.997281076425087,37,2451
Iowa,2594.177153,2588.94817119361,0.997984338964538,37,2451
Kansas,3347.631138,3340.30292764214,0.997810926575908,37,2451
Kentucky,2915.518374,2905.17591640371,0.996452617932878,37,2451
Louisiana,4837.33799,4815.17258436678,0.995417850545271,37,2451
Maine,320.773065,318.789975122561,0.993817779315608,37,2451
Maryland,2433.447541,2420.3629980725,0.994623042943376,37,2451
Massachusetts,1285.487529,1278.62625794611,0.99466251449423,37,2451
Michigan,4917.668237,4902.26640270545,0.996868061538055,37,2451
Minnesota,7664.336613,7631.9708897081,0.995777100494647,37,2451
Mississippi,1902.709949,1887.70674169545,0.992114821645602,37,2451
Missouri,3185.38394,3177.74452517745,0.997601728718909,37,2451
Montana,460.334365,459.590046030428,0.998383090583358,37,2451
Nebraska,2174.832366,2169.48064460183,0.997539248779887,37,2451
Nevada,5562.530025,5538.65925516043,0.995708648810471,37,2451
New Hampshire,343.220113,342.949853300847,0.999212576160554,37,2451
New Jersey,7775.081331,7750.64427453863,0.996857003107616,37,2451
New Mexico,3014.695275,3009.08546247987,0.998139177592292,37,2451
New York,14012.659552,13981.4429246127,0.997772255347285,37,2451
North Carolina,10900.552871,10853.1189449047,0.995648484379037,37,2451
North Dakota,1250.582866,1248.0411568238,0.997967580361685,37,2451
Ohio,5274.634239,5263.99717047959,0.997983354288006,37,2451
Oklahoma,3572.17816,3564.83426814612,0.997944141774307,37,2451
Oregon,5072.409268,5050.11318134606,0.99560443854667,37,2451
Pennsylvania,4045.698546,4034.10457041125,0.997134246297165,37,2451
Rhode Island,257.481262,254.125153494711,0.986965620413615,37,2451
South Carolina,4961.38182,4930.80159380077,0.993836348963114,37,2451
South Dakota,502.873651,497.17624692751,0.988670307022131,37,2451
Tennessee,7607.507104,7581.45475486619,0.996575442023562,37,2451
Texas,70957.396096,70698.0862813822,0.996345556222681,37,2451
Utah,3841.970251,3827.25258954046,0.99616924117106,37,2451
Vermont,319.621006,319.604028296252,0.999946881764872,37,2451
Virginia,4793.99333,4768.90771716718,0.994767282491647,37,2451
Washington,9313.485141,9231.37838129851,0.991184099350732,37,2451
West Virginia,388.586438,386.191215201727,0.993836061776625,37,2451
Wisconsin,4543.38268,4523.19317302305,0.995556282972635,37,2451
Wyoming,788.124136,787.051468289928,0.998638960969377,37,2451
