mx_state,mx_municipality
Aguascalientes,Aguascalientes
Aguascalientes,Asientos
Aguascalientes,Calvillo
Aguascalientes,Cosio
Aguascalientes,El Llano
Aguascalientes,Jesus Maria
Aguascalientes,Pabellon De Arteaga
Aguascalientes,Rincon De Romos
Aguascalientes,San Francisco De Los Romo
Aguascalientes,San Jose De Gracia
Aguascalientes,Tepezala
Baja California,Ensenada
Baja California,Mexicali
Baja California,Playas De Rosarito
Baja California,San Quintin
Baja California,Tecate
Baja California,Tijuana
Baja California Sur,Comondu
Baja California Sur,La Paz
Baja California Sur,Loreto
Baja California Sur,Los Cabos
Baja California Sur,Mulege
Campeche,Calakmul
Campeche,Calkini
Campeche,Campeche
Campeche,Candelaria
Campeche,Carmen
Campeche,Champoton
Campeche,Escarcega
Campeche,Hecelchakan
Campeche,Hopelchen
Campeche,Palizada
Campeche,Tenabo
Chiapas,Acacoyagua
Chiapas,Acala
Chiapas,Acapetahua
Chiapas,Aldama
Chiapas,Altamirano
Chiapas,Amatan
Chiapas,Amatenango De La Frontera
Chiapas,Amatenango Del Valle
Chiapas,Angel Albino Corzo
Chiapas,Arriaga
Chiapas,Bejucal De Ocampo
Chiapas,Bella Vista
Chiapas,Benemerito De Las Americas
Chiapas,Berriozabal
Chiapas,Bochil
Chiapas,Cacahoatan
Chiapas,Capitan Luis Angel Vidal
Chiapas,Catazaja
Chiapas,Chalchihuitan
Chiapas,Chamula
Chiapas,Chanal
Chiapas,Chapultenango
Chiapas,Chenalho
Chiapas,Chiapa De Corzo
Chiapas,Chiapilla
Chiapas,Chicoasen
Chiapas,Chicomuselo
Chiapas,Chilon
Chiapas,Coapilla
Chiapas,Comitan De Dominguez
Chiapas,Copainala
Chiapas,El Bosque
Chiapas,El Parral
Chiapas,El Porvenir
Chiapas,Emiliano Zapata
Chiapas,Escuintla
Chiapas,Francisco Leon
Chiapas,Frontera Comalapa
Chiapas,Frontera Hidalgo
Chiapas,Huehuetan
Chiapas,Huitiupan
Chiapas,Huixtan
Chiapas,Huixtla
Chiapas,Ixhuatan
Chiapas,Ixtacomitan
Chiapas,Ixtapa
Chiapas,Ixtapangajoya
Chiapas,Jiquipilas
Chiapas,Jitotol
Chiapas,Juarez
Chiapas,La Concordia
Chiapas,La Grandeza
Chiapas,La Independencia
Chiapas,La Libertad
Chiapas,La Trinitaria
Chiapas,Larrainzar
Chiapas,Las Margaritas
Chiapas,Las Rosas
Chiapas,Mapastepec
Chiapas,Maravilla Tenejapa
