period_date,year,quarter,year_quarter,mx_state,mx_municipality,remittances_musd
2013-01-01,2013,1,2013Q1,Chiapas,Cintalapa,1.619293
2013-01-01,2013,1,2013Q1,Chihuahua,Rosario,0
2013-01-01,2013,1,2013Q1,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,23.791039
2013-01-01,2013,1,2013Q1,Guerrero,Apaxtla,1.311765
2013-01-01,2013,1,2013Q1,Oaxaca,Miahuatlan De Porfirio Diaz,9.821731
2013-01-01,2013,1,2013Q1,Oaxaca,San Blas Atempa,0.006369
2013-01-01,2013,1,2013Q1,Oaxaca,San Juan Mixtepec - Distr. 08 -,0.465974
2013-01-01,2013,1,2013Q1,Oaxaca,San Juan Mixtepec - Distr. 26 -,0
2013-01-01,2013,1,2013Q1,Oaxaca,San Martin De Los Cansecos,0
2013-01-01,2013,1,2013Q1,Oaxaca,San Pedro Mixtepec - Distr. 22 -,5.812938
2013-01-01,2013,1,2013Q1,Oaxaca,San Pedro Mixtepec - Distr. 26 -,0.03536
2013-01-01,2013,1,2013Q1,Oaxaca,Santiago Chazumba,0.26706
2013-01-01,2013,1,2013Q1,Oaxaca,Villa Hidalgo,0.418631
2013-01-01,2013,1,2013Q1,Oaxaca,Zapotitlan Del Rio,0
2013-01-01,2013,1,2013Q1,San Luis Potosi,Ahualulco,2.439571
2013-04-01,2013,2,2013Q2,Chiapas,Cintalapa,1.751788
2013-04-01,2013,2,2013Q2,Chihuahua,Rosario,0
2013-04-01,2013,2,2013Q2,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,31.30889
2013-04-01,2013,2,2013Q2,Guerrero,Apaxtla,3.520601
2013-04-01,2013,2,2013Q2,Oaxaca,Miahuatlan De Porfirio Diaz,13.346049
2013-04-01,2013,2,2013Q2,Oaxaca,San Blas Atempa,0.002805
2013-04-01,2013,2,2013Q2,Oaxaca,San Juan Mixtepec - Distr. 08 -,0.822893
2013-04-01,2013,2,2013Q2,Oaxaca,San Juan Mixtepec - Distr. 26 -,0
2013-04-01,2013,2,2013Q2,Oaxaca,San Martin De Los Cansecos,0
2013-04-01,2013,2,2013Q2,Oaxaca,San Pedro Mixtepec - Distr. 22 -,9.846694
2013-04-01,2013,2,2013Q2,Oaxaca,San Pedro Mixtepec - Distr. 26 -,0.061916
2013-04-01,2013,2,2013Q2,Oaxaca,Santiago Chazumba,0.351819
2013-04-01,2013,2,2013Q2,Oaxaca,Villa Hidalgo,0.404626
2013-04-01,2013,2,2013Q2,Oaxaca,Zapotitlan Del Rio,0
2013-04-01,2013,2,2013Q2,San Luis Potosi,Ahualulco,2.755803
2013-07-01,2013,3,2013Q3,Chiapas,Cintalapa,1.797425
2013-07-01,2013,3,2013Q3,Chihuahua,Rosario,0
2013-07-01,2013,3,2013Q3,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,28.886474
2013-07-01,2013,3,2013Q3,Guerrero,Apaxtla,1.731774
