mx_state,mx_municipality,validation_status,resolution,official_state,official_municipality,candidate_count,candidate_states,drop_reason
Chiapas,Cintalapa,dropped_unresolved,NA,NA,NA,NA,NA,no_weighting_universe_candidate
Chihuahua,Rosario,dropped_unresolved,NA,NA,NA,2,Sinaloa | Sonora,ambiguous_multiple_candidates
Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,dropped_unresolved,NA,NA,NA,NA,NA,no_weighting_universe_candidate
Guerrero,Apaxtla,dropped_unresolved,NA,NA,NA,NA,NA,no_weighting_universe_candidate
Oaxaca,Miahuatlan De Porfirio Diaz,dropped_unresolved,NA,NA,NA,NA,NA,no_weighting_universe_candidate
Oaxaca,San Blas Atempa,dropped_unresolved,NA,NA,NA,NA,NA,no_weighting_universe_candidate
Oaxaca,San Juan Mixtepec - Distr. 08 -,dropped_unresolved,NA,NA,NA,NA,NA,no_weighting_universe_candidate
Oaxaca,San Juan Mixtepec - Distr. 26 -,dropped_unresolved,NA,NA,NA,NA,NA,no_weighting_universe_candidate
Oaxaca,San Martin De Los Cansecos,dropped_unresolved,NA,NA,NA,NA,NA,no_weighting_universe_candidate
Oaxaca,San Pedro Mixtepec - Distr. 22 -,dropped_unresolved,NA,NA,NA,NA,NA,no_weighting_universe_candidate
Oaxaca,San Pedro Mixtepec - Distr. 26 -,dropped_unresolved,NA,NA,NA,NA,NA,no_weighting_universe_candidate
Oaxaca,Santiago Chazumba,dropped_unresolved,NA,NA,NA,NA,NA,no_weighting_universe_candidate
Oaxaca,Villa Hidalgo,dropped_unresolved,NA,NA,NA,4,Jalisco | San Luis Potosi | Sonora | Zacatecas,ambiguous_multiple_candidates
Oaxaca,Zapotitlan Del Rio,dropped_unresolved,NA,NA,NA,NA,NA,no_weighting_universe_candidate
San Luis Potosi,Ahualulco,dropped_unresolved,NA,NA,NA,NA,NA,no_weighting_universe_candidate
Aguascalientes,Aguascalientes,resolved,exact_same_state,Aguascalientes,Aguascalientes,1,Aguascalientes,NA
Aguascalientes,Asientos,resolved,exact_same_state,Aguascalientes,Asientos,1,Aguascalientes,NA
Aguascalientes,Calvillo,resolved,exact_same_state,Aguascalientes,Calvillo,1,Aguascalientes,NA
Aguascalientes,Cosio,resolved,exact_same_state,Aguascalientes,Cosio,1,Aguascalientes,NA
Aguascalientes,El Llano,resolved,exact_same_state,Aguascalientes,El Llano,1,Aguascalientes,NA
Aguascalientes,Jesus Maria,resolved,exact_same_state,Aguascalientes,Jesus Maria,2,Aguascalientes | Jalisco,NA
Aguascalientes,Pabellon De Arteaga,resolved,exact_same_state,Aguascalientes,Pabellon De Arteaga,1,Aguascalientes,NA
Aguascalientes,Rincon De Romos,resolved,exact_same_state,Aguascalientes,Rincon De Romos,1,Aguascalientes,NA
Aguascalientes,San Francisco De Los Romo,resolved,exact_same_state,Aguascalientes,San Francisco De Los Romo,1,Aguascalientes,NA
Aguascalientes,San Jose De Gracia,resolved,exact_same_state,Aguascalientes,San Jose De Gracia,1,Aguascalientes,NA
Aguascalientes,Tepezala,resolved,exact_same_state,Aguascalientes,Tepezala,1,Aguascalientes,NA
Baja California,Ensenada,resolved,exact_same_state,Baja California,Ensenada,1,Baja California,NA
Baja California,Mexicali,resolved,exact_same_state,Baja California,Mexicali,1,Baja California,NA
Baja California,Playas De Rosarito,resolved,exact_same_state,Baja California,Playas De Rosarito,1,Baja California,NA
