period_date,year,quarter,year_quarter,origin_total_kept_musd,origin_total_dropped_musd,municipality_total_raw_musd,municipality_scale_factor,municipality_total_scaled_musd,ipfp_iterations,ipfp_converged,ipfp_max_gap,fallback_states_used
2013-01-01,2013,1,2013Q1,4656.853234,437.29091100000005,5157.502569,0.9029279523757809,4656.853234,20,TRUE,9.20788778557835e-9,Florida
2013-04-01,2013,2,2013Q2,5562.774521,525.0840840000001,6181.774365,0.8998669625496757,5562.774521,21,TRUE,4.462172853436641e-9,Florida
2013-07-01,2013,3,2013Q3,4872.539175,761.040127,5784.131797,0.8423976745355617,4872.539175,21,TRUE,5.315172302289284e-9,Florida
2013-10-01,2013,4,2013Q4,5058.957958,467.26485399999996,5618.604896,0.900393968189786,5058.957958,20,TRUE,9.753698293479829e-9,Florida
2014-01-01,2014,1,2014Q1,4421.026882,1059.91818,5598.588457,0.7896681308075651,4421.026882,20,TRUE,6.390479256879189e-9,
2014-04-01,2014,2,2014Q2,4702.289036,1522.391314,6291.467526,0.7474073444021461,4702.289036,21,TRUE,9.790198873815825e-9,
2014-07-01,2014,3,2014Q3,5109.471535,770.0448769999999,6038.360483,0.8461686826059601,5109.471534999999,20,TRUE,3.777699930651579e-9,
2014-10-01,2014,4,2014Q4,5039.830969,903.066987,6135.964214,0.8213592506783156,5039.830969,19,TRUE,4.19439771803809e-9,
2015-01-01,2015,1,2015Q1,5220.532879,521.130676,5811.573712,0.8982993484570982,5220.532879,18,TRUE,9.157723468433687e-9,
2015-04-01,2015,2,2015Q2,6104.662787,64.638341,6434.661355,0.9487154723778001,6104.662787,20,TRUE,9.173319881483621e-9,
2015-07-01,2015,3,2015Q3,6300.708488,72.42929699999999,6627.953157,0.9506265869344014,6300.708488,20,TRUE,6.654722994881013e-9,
2015-10-01,2015,4,2015Q4,5920.817945,54.912633,6258.42933,0.946054933722484,5920.817945,20,TRUE,5.368249844650563e-9,
2016-01-01,2016,1,2016Q1,6027.314287,58.90509,6263.439031,0.962301102823651,6027.314287,19,TRUE,8.985786337234458e-9,
2016-04-01,2016,2,2016Q2,6688.094696,103.193282,7024.980895,0.9520445387631193,6688.094696,20,TRUE,4.292445510145626e-9,
2016-07-01,2016,3,2016Q3,6663.0807079999995,67.77969,6974.811081,0.955306262867939,6663.0807079999995,20,TRUE,3.7187675161476363e-9,
2016-10-01,2016,4,2016Q4,6693.7932550000005,67.091877,7022.622028,0.9531757836761082,6693.7932550000005,20,TRUE,3.541565263276425e-9,
2017-01-01,2017,1,2017Q1,6721.198429,67.946855,6978.305959,0.9631561683436356,6721.198428999999,20,TRUE,3.869018883051467e-9,
2017-04-01,2017,2,2017Q2,7387.902911,81.420303,7731.766127,0.9555259160259388,7387.902911,20,TRUE,6.757332471352129e-9,
2017-07-01,2017,3,2017Q3,7392.144258,62.565353,7810.062176,0.9464898090972637,7392.144257999999,20,TRUE,8.467978318549285e-9,
2017-10-01,2017,4,2017Q4,7651.912237,62.77884,8089.66657,0.9458872217770528,7651.912237,20,TRUE,8.999421652333695e-9,
