period_date,year,quarter,year_quarter,mx_state,mx_municipality,remittances_musd
2013-01-01,2013,1,2013Q1,Aguascalientes,Aguascalientes,40.690177
2013-01-01,2013,1,2013Q1,Aguascalientes,Asientos,1.275886
2013-01-01,2013,1,2013Q1,Aguascalientes,Calvillo,10.178654
2013-01-01,2013,1,2013Q1,Aguascalientes,Cosio,0.381639
2013-01-01,2013,1,2013Q1,Aguascalientes,El Llano,1.288662
2013-01-01,2013,1,2013Q1,Aguascalientes,Jesus Maria,2.214437
2013-01-01,2013,1,2013Q1,Aguascalientes,Pabellon De Arteaga,5.686349
2013-01-01,2013,1,2013Q1,Aguascalientes,Rincon De Romos,7.374496
2013-01-01,2013,1,2013Q1,Aguascalientes,San Francisco De Los Romo,1.74687
2013-01-01,2013,1,2013Q1,Aguascalientes,San Jose De Gracia,0
2013-01-01,2013,1,2013Q1,Aguascalientes,Tepezala,0.057545
2013-01-01,2013,1,2013Q1,Baja California,Ensenada,16.408642
2013-01-01,2013,1,2013Q1,Baja California,Mexicali,29.380282
2013-01-01,2013,1,2013Q1,Baja California,Playas De Rosarito,6.026083
2013-01-01,2013,1,2013Q1,Baja California,Tecate,3.981576
2013-01-01,2013,1,2013Q1,Baja California,Tijuana,86.371815
2013-01-01,2013,1,2013Q1,Baja California Sur,Comondu,0.792848
2013-01-01,2013,1,2013Q1,Baja California Sur,La Paz,4.013262
2013-01-01,2013,1,2013Q1,Baja California Sur,Loreto,0.394761
2013-01-01,2013,1,2013Q1,Baja California Sur,Los Cabos,4.294556
2013-01-01,2013,1,2013Q1,Baja California Sur,Mulege,0.634486
2013-01-01,2013,1,2013Q1,Campeche,Calakmul,0.590339
2013-01-01,2013,1,2013Q1,Campeche,Calkini,0.286494
2013-01-01,2013,1,2013Q1,Campeche,Campeche,3.121231
2013-01-01,2013,1,2013Q1,Campeche,Candelaria,0.685365
2013-01-01,2013,1,2013Q1,Campeche,Carmen,2.90729
2013-01-01,2013,1,2013Q1,Campeche,Champoton,1.514808
2013-01-01,2013,1,2013Q1,Campeche,Escarcega,2.814089
2013-01-01,2013,1,2013Q1,Campeche,Hecelchakan,0.052303
2013-01-01,2013,1,2013Q1,Campeche,Hopelchen,0.070515
2013-01-01,2013,1,2013Q1,Campeche,Palizada,0.029974
2013-01-01,2013,1,2013Q1,Campeche,Tenabo,0.007818
2013-01-01,2013,1,2013Q1,Chiapas,Acacoyagua,0
2013-01-01,2013,1,2013Q1,Chiapas,Acala,0.276876
2013-01-01,2013,1,2013Q1,Chiapas,Acapetahua,1.530508
2013-01-01,2013,1,2013Q1,Chiapas,Aldama,0
2013-01-01,2013,1,2013Q1,Chiapas,Altamirano,0.102119
2013-01-01,2013,1,2013Q1,Chiapas,Amatan,0.06773
2013-01-01,2013,1,2013Q1,Chiapas,Amatenango De La Frontera,0
2013-01-01,2013,1,2013Q1,Chiapas,Amatenango Del Valle,0
2013-01-01,2013,1,2013Q1,Chiapas,Angel Albino Corzo,1.551738
2013-01-01,2013,1,2013Q1,Chiapas,Arriaga,1.699217
2013-01-01,2013,1,2013Q1,Chiapas,Bejucal De Ocampo,0
2013-01-01,2013,1,2013Q1,Chiapas,Bella Vista,0
2013-01-01,2013,1,2013Q1,Chiapas,Benemerito De Las Americas,1.188225
2013-01-01,2013,1,2013Q1,Chiapas,Berriozabal,0.018779
2013-01-01,2013,1,2013Q1,Chiapas,Bochil,0.827886
2013-01-01,2013,1,2013Q1,Chiapas,Cacahoatan,1.642985
2013-01-01,2013,1,2013Q1,Chiapas,Catazaja,0.009887
2013-01-01,2013,1,2013Q1,Chiapas,Chalchihuitan,0
2013-01-01,2013,1,2013Q1,Chiapas,Chamula,0.452156
2013-01-01,2013,1,2013Q1,Chiapas,Chanal,0
2013-01-01,2013,1,2013Q1,Chiapas,Chapultenango,0
2013-01-01,2013,1,2013Q1,Chiapas,Chenalho,0
