"state","municipality","year","quarter","remittances_musd","mean_intensity","event"
"Aguascalientes","Aguascalientes",2013,1,40690.177,0,NA
"Aguascalientes","Aguascalientes",2013,2,47164.073,0,NA
"Aguascalientes","Aguascalientes",2013,3,44001.068,0,NA
"Aguascalientes","Aguascalientes",2013,4,46419.031,0,NA
"Aguascalientes","Aguascalientes",2014,1,46458.792,0,NA
"Aguascalientes","Aguascalientes",2014,2,49023.317,0,"2014_M7.2_coyuquilla_norte"
"Aguascalientes","Aguascalientes",2014,3,46008.212,0,"2014_M6.9_puerto_madero"
"Aguascalientes","Aguascalientes",2014,4,48201.841,0,NA
"Aguascalientes","Aguascalientes",2015,1,47967.284,0,NA
"Aguascalientes","Aguascalientes",2015,2,51296.273,0,NA
"Aguascalientes","Aguascalientes",2015,3,52315.916,0,NA
"Aguascalientes","Aguascalientes",2015,4,50227.159,0,NA
"Aguascalientes","Aguascalientes",2016,1,52842.454,0,NA
"Aguascalientes","Aguascalientes",2016,2,57601.149,0,NA
"Aguascalientes","Aguascalientes",2016,3,59165.72,0,NA
"Aguascalientes","Aguascalientes",2016,4,59368.743,0,NA
"Aguascalientes","Aguascalientes",2017,1,57980.699,0,NA
"Aguascalientes","Aguascalientes",2017,2,63057.783,0,NA
"Aguascalientes","Aguascalientes",2017,3,61756.674,0,"2017_M7.1_matzaco"
"Aguascalientes","Aguascalientes",2017,4,64601.995,0,NA
"Aguascalientes","Aguascalientes",2018,1,60965.11,0,"2018_M7.2_pinotepa"
"Aguascalientes","Aguascalientes",2018,2,73280.705,0,NA
"Aguascalientes","Aguascalientes",2018,3,69217.708,0,NA
"Aguascalientes","Aguascalientes",2018,4,73065.541,0,NA
"Aguascalientes","Aguascalientes",2019,1,66217.691,0,"2019_M6.7_puerto_madero"
"Aguascalientes","Aguascalientes",2019,2,76917.815,0,NA
"Aguascalientes","Aguascalientes",2019,3,80325.247,0,NA
"Aguascalientes","Aguascalientes",2019,4,75890.028,0,NA
"Aguascalientes","Aguascalientes",2020,1,73811.528,0,NA
"Aguascalientes","Aguascalientes",2020,2,78793.024,0,"2020_M7.4_Santa_Maria_Xadani"
"Aguascalientes","Aguascalientes",2020,3,76604.099,0,NA
"Aguascalientes","Aguascalientes",2020,4,82348.782,0,NA
"Aguascalientes","Aguascalientes",2021,1,82405.254,0,NA
"Aguascalientes","Aguascalientes",2021,2,103173.135,0,NA
"Aguascalientes","Aguascalientes",2021,3,102919.476,0,"2021_M7.0_acapulco"
"Aguascalientes","Aguascalientes",2021,4,108901.307,0,NA
"Aguascalientes","Aguascalientes",2022,1,102833.66,0,NA
"Aguascalientes","Aguascalientes",2022,2,130262.718,0,NA
"Aguascalientes","Aguascalientes",2022,3,139269.469,0,"2022_M6.8_aguililla"
"Aguascalientes","Aguascalientes",2022,4,140740.351,0,NA
"Aguascalientes","Aguascalientes",2023,1,130011.696,0,NA
"Aguascalientes","Aguascalientes",2023,2,151723.333,0,NA
"Aguascalientes","Aguascalientes",2023,3,146955.423,0,NA
"Aguascalientes","Aguascalientes",2023,4,142420.138,0,NA
"Aguascalientes","Aguascalientes",2024,1,126789.255,0,NA
"Aguascalientes","Aguascalientes",2024,2,153299.347,0,NA
"Aguascalientes","Aguascalientes",2024,3,152611.875,0,NA
"Aguascalientes","Aguascalientes",2024,4,146013.213,0,NA
"Aguascalientes","Aguascalientes",2025,1,129440.379,0,NA
"Aguascalientes","Aguascalientes",2025,2,139144.22,0,NA
"Aguascalientes","Aguascalientes",2025,3,143836.046,0,NA
"Aguascalientes","Aguascalientes",2025,4,144691.42,0,NA
"Aguascalientes","Asientos",2013,1,1275.886,0,NA
"Aguascalientes","Asientos",2013,2,1606.246,0,NA
"Aguascalientes","Asientos",2013,3,1502.257,0,NA
"Aguascalientes","Asientos",2013,4,1388.162,0,NA
"Aguascalientes","Asientos",2014,1,1429.231,0,NA
"Aguascalientes","Asientos",2014,2,1631.231,0,"2014_M7.2_coyuquilla_norte"
"Aguascalientes","Asientos",2014,3,1631.423,0,"2014_M6.9_puerto_madero"
"Aguascalientes","Asientos",2014,4,1431.992,0,NA
"Aguascalientes","Asientos",2015,1,1190.699,0,NA
"Aguascalientes","Asientos",2015,2,1355.659,0,NA
"Aguascalientes","Asientos",2015,3,1583.431,0,NA
"Aguascalientes","Asientos",2015,4,1465.107,0,NA
"Aguascalientes","Asientos",2016,1,1362.542,0,NA
"Aguascalientes","Asientos",2016,2,1511.175,0,NA
"Aguascalientes","Asientos",2016,3,1518.016,0,NA
"Aguascalientes","Asientos",2016,4,1457.666,0,NA
"Aguascalientes","Asientos",2017,1,1492.826,0,NA
"Aguascalientes","Asientos",2017,2,1660.461,0,NA
"Aguascalientes","Asientos",2017,3,1737.887,0,"2017_M7.1_matzaco"
"Aguascalientes","Asientos",2017,4,1578.92,0,NA
