"state","municipality","year","quarter","remittances_musd","mean_r","sd_r","outlier","remittances_kusd","asinh_remittances","mean_pga","event"
"Aguascalientes","Aguascalientes",2013,1,40690.177,87.5197567884615,38.0193841397563,FALSE,40690.177,11.3068891716603,0,NA
"Aguascalientes","Aguascalientes",2013,2,47164.073,87.5197567884615,38.0193841397563,FALSE,47164.073,11.4545348971584,0,NA
"Aguascalientes","Aguascalientes",2013,3,44001.068,87.5197567884615,38.0193841397563,FALSE,44001.068,11.3851163660222,0,NA
"Aguascalientes","Aguascalientes",2013,4,46419.031,87.5197567884615,38.0193841397563,FALSE,46419.031,11.4386119856635,0,NA
"Aguascalientes","Aguascalientes",2014,1,46458.792,87.5197567884615,38.0193841397563,FALSE,46458.792,11.4394681858012,0,NA
"Aguascalientes","Aguascalientes",2014,2,49023.317,87.5197567884615,38.0193841397563,FALSE,49023.317,11.4931985017155,0,"2014_M7.2_coyuquilla_norte"
"Aguascalientes","Aguascalientes",2014,3,46008.212,87.5197567884615,38.0193841397563,FALSE,46008.212,11.4297223619553,0,"2014_M6.9_puerto_madero"
"Aguascalientes","Aguascalientes",2014,4,48201.841,87.5197567884615,38.0193841397563,FALSE,48201.841,11.4762996749976,0,NA
"Aguascalientes","Aguascalientes",2015,1,47967.284,87.5197567884615,38.0193841397563,FALSE,47967.284,11.4714216548418,0,NA
"Aguascalientes","Aguascalientes",2015,2,51296.273,87.5197567884615,38.0193841397563,FALSE,51296.273,11.5385205581025,0,NA
"Aguascalientes","Aguascalientes",2015,3,52315.916,87.5197567884615,38.0193841397563,FALSE,52315.916,11.5582031056317,0,NA
"Aguascalientes","Aguascalientes",2015,4,50227.159,87.5197567884615,38.0193841397563,FALSE,50227.159,11.5174583559788,0,NA
"Aguascalientes","Aguascalientes",2016,1,52842.454,87.5197567884615,38.0193841397563,FALSE,52842.454,11.5682173802967,0,NA
"Aguascalientes","Aguascalientes",2016,2,57601.149,87.5197567884615,38.0193841397563,FALSE,57601.149,11.654444975037,0,NA
"Aguascalientes","Aguascalientes",2016,3,59165.72,87.5197567884615,38.0193841397563,FALSE,59165.72,11.6812447797329,0,NA
"Aguascalientes","Aguascalientes",2016,4,59368.743,87.5197567884615,38.0193841397563,FALSE,59368.743,11.6846703353622,0,NA
"Aguascalientes","Aguascalientes",2017,1,57980.699,87.5197567884615,38.0193841397563,FALSE,57980.699,11.6610126389186,0,NA
"Aguascalientes","Aguascalientes",2017,2,63057.783,87.5197567884615,38.0193841397563,FALSE,63057.783,11.7449539561105,0,NA
"Aguascalientes","Aguascalientes",2017,3,61756.674,87.5197567884615,38.0193841397563,FALSE,61756.674,11.7241045102471,0,"2017_M7.1_matzaco"
"Aguascalientes","Aguascalientes",2017,4,64601.995,87.5197567884615,38.0193841397563,FALSE,64601.995,11.7691477522666,0,NA
"Aguascalientes","Aguascalientes",2018,1,60965.11,87.5197567884615,38.0193841397563,FALSE,60965.11,11.7112041929339,0,"2018_M7.2_pinotepa"
"Aguascalientes","Aguascalientes",2018,2,73280.705,87.5197567884615,38.0193841397563,FALSE,73280.705,11.8951998005414,0,NA
"Aguascalientes","Aguascalientes",2018,3,69217.708,87.5197567884615,38.0193841397563,FALSE,69217.708,11.8381591854359,0,NA
"Aguascalientes","Aguascalientes",2018,4,73065.541,87.5197567884615,38.0193841397563,FALSE,73065.541,11.8922593198541,0,NA
"Aguascalientes","Aguascalientes",2019,1,66217.691,87.5197567884615,38.0193841397563,FALSE,66217.691,11.7938501224905,0,"2019_M6.7_puerto_madero"
"Aguascalientes","Aguascalientes",2019,2,76917.815,87.5197567884615,38.0193841397563,FALSE,76917.815,11.9436399737652,0,NA
"Aguascalientes","Aguascalientes",2019,3,80325.247,87.5197567884615,38.0193841397563,FALSE,80325.247,11.9869864395858,0,NA
"Aguascalientes","Aguascalientes",2019,4,75890.028,87.5197567884615,38.0193841397563,FALSE,75890.028,11.9301877519563,0,NA
"Aguascalientes","Aguascalientes",2020,1,73811.528,87.5197567884615,38.0193841397563,FALSE,73811.528,11.9024173849576,0,NA
"Aguascalientes","Aguascalientes",2020,2,78793.024,87.5197567884615,38.0193841397563,FALSE,78793.024,11.9677269246086,0,"2020_M7.4_Santa_Maria_Xadani"
"Aguascalientes","Aguascalientes",2020,3,76604.099,87.5197567884615,38.0193841397563,FALSE,76604.099,11.9395530466489,0,NA
