us_state,pre_total_musd,pre_avg_quarterly_musd,pre_rank,pre_share_of_all_us_remittances
California,102856.668774002,2637.35048138467,1,0.326874747698665
Texas,50264.9280450001,1288.84430884616,2,0.159740110861474
Illinois,13523.7982049998,346.764056538456,3,0.0429781382080334
Florida,12171.2081449998,312.082260128199,4,0.0386796562537551
Georgia,10551.0202200001,270.538980000002,5,0.033530758029447
New York,10212.4949109999,261.858843871793,6,0.0324549369253029
Arizona,9849.38143199988,252.548241846151,7,0.0313009755123106
Colorado,8231.20993099988,211.056664897433,8,0.0261584854100428
North Carolina,7616.47274700005,195.294173000001,9,0.0242048730257797
Washington,7081.55822399978,181.578415999994,10,0.0225049341513228
Minnesota,6338.23519099985,162.518851051278,11,0.0201426806215656
Tennessee,5206.09750299993,133.489679564101,12,0.0165447882774314
New Jersey,5004.214874,128.313201897436,13,0.0159032126342994
Louisiana,3789.46598999993,97.1657946153827,14,0.0120427849176755
Nevada,3675.21827699992,94.236366076921,15,0.0116797098462469
Indiana,3582.80065600001,91.8666834871799,16,0.0113860100122223
Virginia,3551.06085699993,91.0528424871776,17,0.0112851420868478
Oregon,3507.02321399992,89.923672153844,18,0.0111451920610843
Michigan,3472.05585499991,89.0270732051259,19,0.0110340670675661
Wisconsin,3308.62925199992,84.8366474871774,20,0.0105147032746335
South Carolina,3229.39756899994,82.8050658717933,21,0.0102629078713888
Pennsylvania,2778.19230299994,71.2357000769216,22,0.00882899396729263
Ohio,2768.79218099991,70.9946713076899,23,0.00879912072189471
Utah,2615.64792299993,67.0678954615367,24,0.00831243384692668
Oklahoma,2544.78533799992,65.2509061025619,25,0.00808723513235378
Alabama,2515.72344599991,64.5057293846132,26,0.00799487749790599
Kansas,2283.49665699999,58.5511963333331,27,0.00725686921931776
Missouri,2246.10987099995,57.5925607948704,28,0.00713805537490015
Arkansas,2153.18404399998,55.2098472820508,29,0.0068427404807143
New Mexico,2125.65440299997,54.5039590512813,30,0.00675525228414548
Kentucky,1994.47684199996,51.1404318461528,31,0.00633837477229627
Maryland,1745.27961999996,44.7507594871785,32,0.00554643507563513
Nebraska,1609.39779099994,41.2666100256396,33,0.0051146075713942
Iowa,1523.69936499993,39.0692144871777,34,0.00484226109439058
Idaho,1419.72544999996,36.4032166666657,35,0.00451183577887183
Mississippi,1273.86538899996,32.663215102563,36,0.00404829781670579
North Dakota,908.155285999968,23.2860329743582,37,0.00288608442720129
Massachusetts,857.22181999998,21.9800466666662,38,0.00272421972706459
Connecticut,809.107881999978,20.7463559487174,39,0.0025713153842349
Delaware,498.326061999987,12.777591333333,40,0.00158366207781646
Wyoming,477.736069999986,12.2496428205125,41,0.00151822783305294
Alaska,450.477597999988,11.5507076410253,42,0.00143160140169118
South Dakota,357.805359999989,9.17449641025614,43,0.00113709240411244
Hawaii,293.29352399999,7.52034676923051,44,0.000932076138590455
West Virginia,274.769152999994,7.04536289743574,45,0.000873206362142564
Montana,270.506818999988,6.93607228205099,46,0.000859660819909222
New Hampshire,252.082600999989,6.46365643589714,47,0.000801109326048112
Rhode Island,189.973731999995,4.8711213333332,48,0.000603729602144844
Maine,148.282337999994,3.80211123076909,49,0.000471235870261507
Vermont,134.758239999995,3.45533948717935,50,0.000428256779315881
District Of Columbia,123.449011999997,3.1653592820512,51,0.000392316464572766
