mx_region,mx_state,mx_municipality,mx_municipality_id,pre_florida_total_musd,pre_all_states_total_musd,pre_avg_quarterly_florida_musd,pre_florida_share,pre_florida_rank
South,Chiapas,San Cristobal De Las Casas,Chiapas - San Cristobal De Las Casas,708.018459655609,1282.47523718529,18.1543194783489,0.552071836653571,1
Central,Hidalgo,Ixmiquilpan,Hidalgo - Ixmiquilpan,432.664555100869,1135.52659887025,11.0939629513043,0.381025469179968,2
Bajio/West,Queretaro,Queretaro,Queretaro - Queretaro,167.026525639519,1977.72985536959,4.28273142665433,0.084453660435998,3
South,Chiapas,Comitan De Dominguez,Chiapas - Comitan De Dominguez,145.850776092938,987.210524082172,3.73976348956252,0.147740297064335,4
Bajio/West,Michoacan De Ocampo,Morelia,Michoacan De Ocampo - Morelia,133.671863263266,3677.41275744852,3.42748367341708,0.0363494315378432,5
South,Chiapas,Frontera Comalapa,Chiapas - Frontera Comalapa,126.570807705359,569.5768361348,3.24540532577844,0.222219022396136,6
Bajio/West,Guanajuato,Apaseo El Alto,Guanajuato - Apaseo El Alto,122.654035267414,822.831920437431,3.14497526326702,0.149063292539999,7
South,Guerrero,Pungarabato,Guerrero - Pungarabato,118.347568856873,1034.88113843126,3.03455304761214,0.114358610338838,8
Central,Ciudad De Mexico,Alvaro Obregon,Ciudad De Mexico - Alvaro Obregon,114.015936915255,2813.07986337441,2.92348556192961,0.0405306434416291,9
South,Oaxaca,Heroica Ciudad De Tlaxiaco,Oaxaca - Heroica Ciudad De Tlaxiaco,106.380567900535,597.543162398637,2.72770686924448,0.178029930881487,10
South,Guerrero,Chilapa De Alvarez,Guerrero - Chilapa De Alvarez,97.4537812972687,663.570966831812,2.49881490505817,0.146862635902467,11
South,Chiapas,Motozintla,Chiapas - Motozintla,95.7798188433261,467.757261834757,2.45589279085452,0.204763937747613,12
South,Chiapas,Tapachula,Chiapas - Tapachula,95.6977682052188,770.765305862322,2.45378892833894,0.124159413348468,13
Bajio/West,Aguascalientes,Aguascalientes,Aguascalientes - Aguascalientes,94.7731334290464,2529.70092461488,2.43008034433452,0.0374641652326844,14
South,Oaxaca,Oaxaca De Juarez,Oaxaca - Oaxaca De Juarez,88.7754303313371,2912.07100671998,2.2762930854189,0.0304853247487703,15
Central,Hidalgo,Zimapan,Hidalgo - Zimapan,88.2505452794997,375.28318605503,2.26283449434615,0.235157205435148,16
