study,subgroup,sample,fixed_effects,clusters,relative_quarter,calendar_quarter,is_reference_period,term,estimate,std.error,statistic,p.value,conf.low,conf.high,estimate_pct,conf.low_pct,conf.high_pct
Aggregate TWFE event study,Pair + quarter FE,All origin states,US state-municipality pair; calendar quarter,US state; Mexican municipality,-16,2018 Q4,FALSE,relative_quarter::-16:florida,0.00551369991310211,0.00397178346174161,1.38821765240051,0.171225327127925,-0.00246386195027009,0.0134912617764743,0.552892833191376,-0.246082913374013,1.35826794994938
Aggregate TWFE event study,Pair + quarter FE,All origin states,US state-municipality pair; calendar quarter,US state; Mexican municipality,-15,2019 Q1,FALSE,relative_quarter::-15:florida,0.00665593254304901,0.00442881983671598,1.5028682105941,0.139163215724929,-0.00223961389583948,0.0155514789819375,0.667813248850635,-0.223710783185926,1.56730325262193
Aggregate TWFE event study,Pair + quarter FE,All origin states,US state-municipality pair; calendar quarter,US state; Mexican municipality,-14,2019 Q2,FALSE,relative_quarter::-14:florida,0.0108760126382908,0.00361667726319402,3.00718362375684,0.00411870282281483,0.00361170256577478,0.0181403227108068,1.0935371464345,0.361823262266103,1.83058578032029
Aggregate TWFE event study,Pair + quarter FE,All origin states,US state-municipality pair; calendar quarter,US state; Mexican municipality,-13,2019 Q3,FALSE,relative_quarter::-13:florida,0.00369654566493414,0.00338541010361098,1.09190483628299,0.280108491904423,-0.00310325064687167,0.01049634197674,0.370338631619016,-0.309844054152364,1.0551621816927
Aggregate TWFE event study,Pair + quarter FE,All origin states,US state-municipality pair; calendar quarter,US state; Mexican municipality,-12,2019 Q4,FALSE,relative_quarter::-12:florida,0.00060929364348149,0.00351579113877822,0.173302002147155,0.863113741294297,-0.0064523806845546,0.00767096797151758,0.0609479300558213,-0.643160877640359,0.770046522224344
Aggregate TWFE event study,Pair + quarter FE,All origin states,US state-municipality pair; calendar quarter,US state; Mexican municipality,-11,2020 Q1,FALSE,relative_quarter::-11:florida,0.0138516258494365,0.00309949100756207,4.46900017313861,0.0000451618897009078,0.0076261149433233,0.0200771367555496,1.39480041031397,0.765526781849335,2.02800380833501
Aggregate TWFE event study,Pair + quarter FE,All origin states,US state-municipality pair; calendar quarter,US state; Mexican municipality,-10,2020 Q2,FALSE,relative_quarter::-10:florida,0.00175255310395068,0.00267499133200235,0.655162161829817,0.515366419095665,-0.00362032511073319,0.00712543131863455,0.175408972267932,-0.361377963507858,0.715087760706168
Aggregate TWFE event study,Pair + quarter FE,All origin states,US state-municipality pair; calendar quarter,US state; Mexican municipality,-9,2020 Q3,FALSE,relative_quarter::-9:florida,-0.00146577699020672,0.00204815849088608,-0.715656037718346,0.477532692802128,-0.00557962439010249,0.00264807040968905,-0.146470326379278,-0.556408719660106,0.265157964502016
Aggregate TWFE event study,Pair + quarter FE,All origin states,US state-municipality pair; calendar quarter,US state; Mexican municipality,-8,2020 Q4,FALSE,relative_quarter::-8:florida,0.0012845508423105,0.00214249832419076,0.599557454867874,0.551508590067328,-0.00301878368940347,0.00558788537402447,0.128537623112379,-0.301423174352045,0.560352672595688
Aggregate TWFE event study,Pair + quarter FE,All origin states,US state-municipality pair; calendar quarter,US state; Mexican municipality,-7,2021 Q1,FALSE,relative_quarter::-7:florida,0.0124400526213453,0.00196369446461398,6.33502453946713,0.0000000658143110320327,0.00849585621106309,0.0163842490316276,1.25177519361916,0.8532048419436,1.65192068934179
