study,subgroup,sample,fixed_effects,clusters,relative_quarter,calendar_quarter,is_reference_period,term,estimate,std.error,statistic,p.value,conf.low,conf.high,estimate_pct,conf.low_pct,conf.high_pct
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-16,2018 Q4,FALSE,relative_quarter::-16:florida,0.0200708209331295,0.00446755963409085,4.49256922727434,0.0000442823499625653,0.0110881902510675,0.0290534516151916,2.02735941961603,1.11498920755646,2.94796203530214
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-15,2019 Q1,FALSE,relative_quarter::-15:florida,0.0221516289903188,0.00488026497839554,4.53902177205171,0.0000379756543419458,0.0123391985983405,0.0319640593822972,2.23987980153137,1.24156405968012,3.24803966550467
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-14,2019 Q2,FALSE,relative_quarter::-14:florida,0.0248920508008954,0.00389280130297034,6.39438000133782,0.0000000624518661741157,0.0170650491966183,0.0327190524051724,2.52044445521371,1.72114889633221,3.32602064892269
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-13,2019 Q3,FALSE,relative_quarter::-13:florida,0.0161009160679155,0.0035788042933071,4.4989652264659,0.0000433567414941291,0.00890524776505743,0.0232965843707736,1.62312342918503,0.894501744924003,2.35700694188659
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-12,2019 Q4,FALSE,relative_quarter::-12:florida,0.0134131565805209,0.0037394936376072,3.58689113564144,0.000782281325410588,0.00589440069683313,0.0209319124642086,1.35035165172568,0.591180685944748,2.11525215116311
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-11,2020 Q1,FALSE,relative_quarter::-11:florida,0.0191949489185965,0.0035754762387448,5.36850132315101,0.00000227394447486574,0.0120059721179166,0.0263839257192763,1.93803563459585,1.20783330991754,2.67350628107816
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-10,2020 Q2,FALSE,relative_quarter::-10:florida,0.0109146598690047,0.00257395540948883,4.2404230581338,0.000100992484556174,0.00573937565811152,0.0160899440798978,1.09744420718634,0.575587742943373,1.62200842760936
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-9,2020 Q3,FALSE,relative_quarter::-9:florida,0.00780039028687522,0.00245592016241681,3.17615792493801,0.00260832356131758,0.00286243184636982,0.0127383487273806,0.783089258956338,0.286653251610303,1.28198270905671
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-8,2020 Q4,FALSE,relative_quarter::-8:florida,0.00907117780120061,0.00256480711398161,3.53678752361166,0.000909491172267208,0.00391428747122728,0.0142280681311739,0.911244562274938,0.392195829977471,1.43297688550563
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-7,2021 Q1,FALSE,relative_quarter::-7:florida,0.0165953109607745,0.00220638967561335,7.52147779886669,0.00000000117254199348293,0.012159067190123,0.0210315547314259,1.67337780413432,1.22332891658623,2.12542765335155
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-6,2021 Q2,FALSE,relative_quarter::-6:florida,0.0197034343847032,0.00113677731362049,17.3327125274433,0.0000000000000000000002685935167144,0.0174177904062592,0.0219890783631473,1.98988282481374,1.75703646658032,2.22326199560168
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-5,2021 Q3,FALSE,relative_quarter::-5:florida,0.00791755820958526,0.00109761550232126,7.21341689584473,0.00000000346428238315833,0.00571065433011096,0.0101244620890596,0.794898495987484,0.572699119981701,1.01758878615914
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-4,2021 Q4,FALSE,relative_quarter::-4:florida,0.00825077914028469,0.00115105452862801,7.16801761782665,0.00000000406530101026356,0.00593642889710445,0.0105651293834649,0.828491062436365,0.595408441073997,1.06211374332257
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-3,2022 Q1,FALSE,relative_quarter::-3:florida,0.00794233100019275,0.00149724862930698,5.30461731253609,0.00000283572475161184,0.00493191086530289,0.0109527511350826,0.797395497830955,0.494409275612751,1.10129521017777
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-2,2022 Q2,FALSE,relative_quarter::-2:florida,0.00462150415444047,0.000712140042191713,6.48960019186272,0.0000000446167280191016,0.00318965063331382,0.00605335767556711,0.463219977503604,0.319474298172651,0.607171627016023
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-1,2022 Q3,TRUE,Reference quarter,0,,,,0,0,0,0,0
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,0,2022 Q4,FALSE,relative_quarter::0:florida,0.0044820028051383,0.000452587165534021,9.90307093629102,0.000000000000348080945698721,0.00357201531926096,0.00539199029101563,0.449206200254637,0.357840256883502,0.540655323331407
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,1,2023 Q1,FALSE,relative_quarter::1:florida,-0.0141823380817638,0.0017479039314219,-8.11391165544586,0.000000000148237867231889,-0.0176967344792687,-0.0106679416842589,-1.4082242480308,-1.75410668955499,-1.06112410000179
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,2,2023 Q2,FALSE,relative_quarter::2:florida,-0.0204998961464035,0.00149960047534218,-13.6702384958406,0.00000000000000000359901821462237,-0.0235150449846763,-0.0174847473081307,-2.02912017792052,-2.32407207700907,-1.73327761288566
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,3,2023 Q3,FALSE,relative_quarter::3:florida,0.00572393536165757,0.00289564111817763,1.9767419814994,0.0538311545837021,-0.000098141316156263,0.0115460120394714,0.574034838041282,-0.00981365004548707,1.16129245125807
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,4,2023 Q4,FALSE,relative_quarter::4:florida,0.00716312729467627,0.0027691232384444,2.58678530273729,0.012774217145121,0.00159543186331498,0.0127308227260376,0.718884385799723,0.159670524183642,1.28122046358714
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,5,2024 Q1,FALSE,relative_quarter::5:florida,0.0142546497607119,0.00336031854756875,4.24205311458504,0.000100461130708722,0.00749827649228078,0.021011023029143,1.43567317515587,0.752645896340809,2.12333086600085
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,6,2024 Q2,FALSE,relative_quarter::6:florida,0.0110374329359298,0.00257487695747341,4.28658655082308,0.0000869527410150366,0.005860295828628,0.0162145700432315,1.10985701243345,0.587750095485107,1.63467395751609
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,7,2024 Q3,FALSE,relative_quarter::7:florida,0.000645246930853555,0.00287789150129652,0.224208219998171,0.823546926453335,-0.0051411417503246,0.00643163561203171,0.0645455147435747,-0.512794869987332,0.645236299351581
