study,subgroup,sample,fixed_effects,clusters,relative_quarter,calendar_quarter,is_reference_period,term,estimate,std.error,statistic,p.value,conf.low,conf.high,estimate_pct,conf.low_pct,conf.high_pct
Top 50 pooled TWFE event study,Top 50 pooled,Top 50 Florida-linked municipalities; NC/SC excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-16,2018 Q4,FALSE,relative_quarter::-16:florida,-0.0538385697687321,0.0225937685461334,-2.38289463126972,0.0211840664739905,-0.099266386113305,-0.00841075342415913,-5.24149369685667,-9.44985371224912,-0.837548199328431
Top 50 pooled TWFE event study,Top 50 pooled,Top 50 Florida-linked municipalities; NC/SC excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-15,2019 Q1,FALSE,relative_quarter::-15:florida,-0.0457903855956204,0.0231917991102086,-1.97442144863458,0.0541024716083664,-0.0924206229784446,0.000839851787203874,-4.47578262743454,-8.82784221643732,0.0840204561468605
Top 50 pooled TWFE event study,Top 50 pooled,Top 50 Florida-linked municipalities; NC/SC excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-14,2019 Q2,FALSE,relative_quarter::-14:florida,0.00308158544640629,0.0199724913135486,0.154291490131522,0.878026824163303,-0.0370757997849626,0.0432389706777751,0.308633841180694,-3.63969083263972,4.41873952073475
Top 50 pooled TWFE event study,Top 50 pooled,Top 50 Florida-linked municipalities; NC/SC excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-13,2019 Q3,FALSE,relative_quarter::-13:florida,-0.0742167200671679,0.0196635594642493,-3.77432784751422,0.000441439730955758,-0.113752956184599,-0.0346804839497374,-7.15295461434199,-10.7521590078066,-3.40860080188957
Top 50 pooled TWFE event study,Top 50 pooled,Top 50 Florida-linked municipalities; NC/SC excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-12,2019 Q4,FALSE,relative_quarter::-12:florida,-0.108272505806309,0.0206939231196493,-5.2320918165344,0.00000364112538186736,-0.14988042690228,-0.0666645847103386,-10.2616978975873,-13.918909990264,-6.44910672816673
Top 50 pooled TWFE event study,Top 50 pooled,Top 50 Florida-linked municipalities; NC/SC excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-11,2020 Q1,FALSE,relative_quarter::-11:florida,0.0184985585573538,0.0201964125207537,0.915932893445543,0.364280967021028,-0.0221090504361909,0.0591061675508984,1.86707168131031,-2.18664366567179,6.08878666280237
Top 50 pooled TWFE event study,Top 50 pooled,Top 50 Florida-linked municipalities; NC/SC excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-10,2020 Q2,FALSE,relative_quarter::-10:florida,-0.100993974510546,0.0195758059516532,-5.15912217151992,0.00000467895516013503,-0.140353770365447,-0.0616341786556443,-9.60615204587694,-13.0949263386649,-5.97732210900248
Top 50 pooled TWFE event study,Top 50 pooled,Top 50 Florida-linked municipalities; NC/SC excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-9,2020 Q3,FALSE,relative_quarter::-9:florida,-0.133676307216445,0.0172433540136226,-7.75233792166178,0.000000000522322890230067,-0.168346394134254,-0.0990062202986364,-12.5126791080772,-15.4938940214364,-9.42629259490607
Top 50 pooled TWFE event study,Top 50 pooled,Top 50 Florida-linked municipalities; NC/SC excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-8,2020 Q4,FALSE,relative_quarter::-8:florida,-0.0845003647767845,0.0167049042853768,-5.05841657834309,0.00000660524114279249,-0.118087825955749,-0.0509129035978199,-8.10286798426326,-11.1381994538241,-4.96385600098925
Top 50 pooled TWFE event study,Top 50 pooled,Top 50 Florida-linked municipalities; NC/SC excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-7,2021 Q1,FALSE,relative_quarter::-7:florida,0.0511169693027776,0.0146297032439943,3.49405373781329,0.00103339294024013,0.0217019794666746,0.0805319591388806,5.24459899574539,2.19391802240163,8.38634854323934
Top 50 pooled TWFE event study,Top 50 pooled,Top 50 Florida-linked municipalities; NC/SC excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-6,2021 Q2,FALSE,relative_quarter::-6:florida,0.109606124646865,0.0102838009480738,10.6581336220237,0.0000000000000301619794830848,0.0889291570201784,0.130283092273551,11.5838482616763,9.3003221978323,13.9150822478705
