"mx_state","mx_municipality","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District Of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Aguascalientes","Aguascalientes",1.87370950423353e-05,2.09033814354979e-07,5.43105785022339e-05,4.73246966922673e-05,0.00147007463280657,0.000291708780495854,6.36551109791522e-06,5.45108060918707e-06,0,0,9.31292848033848e-05,0,1.5040529396105e-05,0.000494623852384547,0.000415846195052615,3.61043450965824e-05,6.88077971136266e-05,5.82055727418217e-05,1.41367077665205e-05,0,8.27407880614592e-06,2.30162074672922e-06,3.66582789635078e-05,2.26993646505989e-05,7.38888372994787e-06,2.23530756635576e-05,1.06099127626684e-06,2.89346623055855e-05,0.000109857191637309,4.50712222564311e-07,4.86412437921579e-06,6.3694515574147e-05,1.16033200835689e-05,0.000103201656426181,4.18348727313015e-07,1.55986474565764e-05,0.000145225823432763,1.29479509571607e-05,8.69819315460491e-06,2.1694491660095e-07,2.00425711343697e-05,2.2135624390655e-06,5.6663067473418e-05,0.00102298244392459,6.73044216598557e-05,0,2.0204703851023e-05,3.56984844469392e-05,0,4.29161064091853e-05,6.43079985730865e-06
"Aguascalientes","Asientos",6.27101443064937e-07,0,2.47417271964966e-06,5.06085613996838e-06,6.72472920765009e-05,3.36694927090555e-05,0,0,0,0,7.81374281303815e-06,0,1.0973077352102e-06,6.86470828675868e-05,1.53419901396843e-05,2.1694491660095e-07,2.08903595825896e-06,1.32768427468761e-06,4.50993321167368e-07,0,6.55787898365381e-07,2.09314912958036e-07,2.41678408209332e-07,2.09314912958036e-07,0,0,0,2.41678408209332e-07,2.84757997436779e-06,0,2.09033814354979e-07,4.51403994822892e-06,2.22402101198825e-06,2.06083311785561e-05,0,0,1.10597617872695e-05,4.50712222564311e-07,0,0,1.75789706793866e-06,0,6.8748551847581e-06,0.000120002862362336,5.46690281367901e-06,0,6.88151393616677e-07,1.14705581703002e-06,0,4.33889833201901e-07,0
"Aguascalientes","Calvillo",2.97506440885776e-06,0,6.57749394420848e-06,5.03188341120303e-06,0.000305717757535385,9.09013297287292e-05,2.09033814354979e-07,0,0,0,4.11858782307972e-05,4.46472985407345e-07,1.63464209779337e-05,0.000236524040606718,2.38836176484476e-05,3.66845004964003e-06,3.0022620563645e-05,2.20380785613989e-06,1.56017029717745e-06,0,6.55506799762324e-07,0,1.56907640943204e-06,2.5025832512089e-06,3.49417548701367e-06,2.81916944280855e-06,2.41678408209332e-07,2.46598051880064e-06,9.77191412241479e-06,0,2.1694491660095e-07,6.07886514043184e-06,8.64540614117303e-07,4.68457044902849e-05,2.09314912958036e-07,4.518841382592e-06,0.000244538006574749,7.62607780048475e-06,4.46472985407345e-07,0,1.33531427833052e-06,2.38075927384663e-06,3.00107918393967e-06,0.000122249459178816,2.40113523583149e-05,0,1.68046271568886e-06,9.52783146429825e-06,0,6.00086341611408e-06,6.35293643913965e-07
"Aguascalientes","Cosio",0,0,6.83912156459711e-07,4.50993321167368e-07,3.52282235737938e-05,5.02186728360136e-05,0,0,0,0,2.41678408209332e-07,0,4.74878342104732e-07,2.41708090765183e-06,1.31920580037368e-06,0,1.33898614341953e-06,0,0,0,2.1694491660095e-07,0,2.09033814354979e-07,0,0,1.76552707158157e-06,0,2.09314912958036e-07,3.20354154440434e-05,0,0,7.59962129085518e-06,0,0,0,2.41678408209332e-07,1.97132183365005e-06,1.48809440163499e-06,0,0,0,0,0,1.3880607900288e-05,2.01187752975038e-06,0,2.1694491660095e-07,0,0,8.65383909926474e-07,0
"Aguascalientes","Delicias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","El Llano",8.52519659117973e-07,0,2.09314912958036e-07,4.54384087653316e-07,8.90935154824258e-06,2.01950753339329e-06,0,0,0,0,4.18348727313015e-07,0,8.69342048480383e-07,3.52414322578764e-06,2.46049994228249e-05,4.2597873095593e-07,8.65383909926474e-07,0,4.2597873095593e-07,0,2.09033814354979e-07,0,0,0,2.09314912958036e-07,0,0,6.926717293767e-07,2.09033814354979e-07,0,0,0,0,2.2659873759657e-06,0,2.09314912958036e-07,5.82887364039976e-06,0,0,0,4.54384087653316e-07,0,1.72129951039224e-06,1.75244964436512e-05,4.54384087653316e-07,0,2.37439171052366e-07,2.37439171052366e-07,0,2.09314912958036e-07,0
"Aguascalientes","Jesus Maria",8.72451716363275e-07,2.09314912958036e-07,4.31433307885889e-06,1.95110867780169e-06,0.000120500707871974,4.63538864123574e-05,0,4.18067628709958e-07,0,0,3.74815077396354e-06,0,8.65102811323417e-07,5.45340777869484e-05,2.09705831038799e-05,1.15546792412273e-05,4.10417818865972e-06,4.38668864502585e-06,6.4292364755688e-07,0,6.88151393616677e-07,0,1.3237261361337e-06,7.76510920422213e-06,0,1.35185039422803e-06,0,1.53643181557768e-06,3.73741110243774e-06,0,6.67938237768318e-07,1.16715463231437e-05,6.4292364755688e-07,7.00036300728152e-06,0,1.56483717227507e-06,1.00220710049381e-05,6.84193255062768e-07,2.09314912958036e-07,0,2.09033814354979e-07,2.09314912958036e-07,4.24325594020837e-06,4.8248464678074e-05,4.93476727708526e-06,0,6.35574742517022e-07,3.31115127287875e-06,0,1.5932477038343e-06,4.18629825916072e-07
"Aguascalientes","Pabellon De Arteaga",4.2597873095593e-07,0,4.54257986419176e-06,9.04773254331966e-06,9.65193848645887e-05,6.67052454026027e-05,4.2597873095593e-07,0,0,0,6.48873539343092e-06,0,2.37439171052366e-07,4.38361762851496e-05,8.22122623130506e-06,3.68427225413197e-06,5.8111719571406e-06,1.80942980912991e-05,1.6056791418403e-06,0,4.79117579261698e-07,2.09314912958036e-07,8.69060949877326e-07,0,2.09033814354979e-07,3.5119928863847e-06,0,3.98800079776351e-06,1.02976738624967e-05,0,2.1694491660095e-07,4.04353540254661e-06,6.60027135522347e-07,1.4244401305871e-05,0,8.44608556872001e-07,3.25200052798222e-05,1.86870027517207e-06,4.46472985407345e-07,0,2.14699714274511e-06,0,2.18387579889459e-06,0.000170989281751135,1.14384900726288e-05,0,6.96062495862649e-07,3.49984254698176e-06,0,3.40061175498973e-06,1.79860447823843e-06
"Aguascalientes","Rincon De Romos",1.35269886489905e-06,6.55506799762324e-07,3.93484310630416e-06,3.31806534287576e-05,0.000157712466861325,0.000165559510354496,7.16556750314064e-07,0,0,0,6.43064482454116e-06,0,2.41340386770098e-06,3.12382840527408e-05,8.06248902768428e-06,4.35276419567652e-06,4.88630047873897e-06,6.63644333349295e-06,3.53121103222444e-06,0,4.84658807844781e-06,0,2.90199493128523e-06,1.38873422523935e-06,1.56851421222592e-06,1.38965818189793e-05,0,3.49400408825977e-05,3.01513119408159e-05,0,4.18067628709958e-07,1.31705478374594e-05,6.83912156459711e-07,1.24373032570484e-05,0,3.71678746358272e-06,0.000112831859885153,2.57821012086663e-06,0,0,3.78207665129142e-06,4.79117579261698e-07,9.52839534972395e-06,0.00014445868232953,2.67898052667086e-05,0,3.81020090938575e-06,4.27264781348449e-06,0,3.95379382183257e-06,1.30295078307923e-06
"Aguascalientes","San Francisco De Los Romo",2.09033814354979e-07,0,1.36810541152248e-06,3.54011714447903e-06,1.69920574786585e-05,9.16631229353359e-06,0,0,0,0,4.46754084010402e-07,0,4.18348727313015e-07,3.04741840871247e-05,1.10226088377273e-06,3.27398634326438e-06,9.00857073060662e-07,1.15453967877598e-05,0,0,0,0,6.67938237768318e-07,2.37439171052366e-07,0,6.63417902008296e-07,0,2.09033814354979e-07,4.2597873095593e-07,0,0,1.38421388947933e-06,2.09033814354979e-07,1.32711690261965e-06,0,2.09033814354979e-07,1.10254198237578e-06,0,0,0,2.09033814354979e-07,0,4.18348727313015e-07,1.30276705246377e-05,1.32768427468761e-06,0,0,1.34817852913902e-06,0,2.41678408209332e-07,0
