"date","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","No identificado","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto Rico","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Total","Utah","Vermont","Virginia","Washington","Washington DC","West Virginia","Wisconsin","Wyoming"
2013-01-01,46.995605,8.924355,121.102347,38.739154,1403.262699,117.245123,15.838646,9.4098,218.941865,153.676744,3.315527,19.133225,259.211669,56.093548,21.464725,39.895322,30.570408,58.049193,1.918004,31.855097,9.492873,40.373004,71.828277,23.245973,26.816833,0.975621,22.497815,61.996394,2.848132,89.916528,38.907756,200.694085,436.990916,132.649076,3.62542,43.093146,51.828383,67.16488,45.970181,0.299995,2.580926,57.449641,3.065886,66.986933,670.099246,5094.144145,47.224343,0.974121,49.38657,113.102348,3.287955,3.301347,42.279023,7.547462
2013-04-01,60.555131,12.480323,134.002384,44.441293,1604.162014,144.41304,21.490941,13.283608,252.123631,204.09317,3.376702,29.27008,291.064098,77.839652,26.442631,47.294045,40.414036,71.809878,2.892067,42.718547,12.05037,48.893595,84.683095,29.467042,34.431695,3.905532,28.045017,69.29287,3.38347,120.223092,44.717922,226.635898,524.79281,177.421587,16.63853,60.478154,60.130045,82.380786,64.778157,0.291274,2.925488,73.835277,4.181648,86.41093,767.076011,6087.858605,56.420881,0.981136,64.438131,139.625544,4.131165,3.391736,58.624674,9.007772
2013-07-01,45.960645,12.17758,110.283953,40.630385,1394.922354,137.060057,16.659558,12.790885,195.354864,160.6495,2.87589,27.114834,239.410865,67.205154,27.856298,43.958617,42.884543,64.791622,1.230947,38.270653,10.957485,51.726761,92.339578,28.283845,34.746794,2.187365,27.335851,59.501634,3.122675,107.066488,32.955844,193.961088,760.826477,169.840425,8.187432,54.318431,57.669281,78.452298,57.311697,0.21365,2.4884,60.604338,4.680853,80.873011,648.454611,5633.579302,48.058716,0.92887,61.768157,147.106501,3.024256,2.803156,49.948483,9.745647
2013-10-01,45.338249,9.568414,110.051938,37.542615,1488.382782,134.186309,15.762427,11.63927,227.377034,157.077369,2.546441,25.936752,296.802968,64.270773,26.811388,44.126241,43.846911,65.849175,0.618678,35.011496,10.532636,42.014616,186.496091,26.332285,31.964597,1.314281,25.602072,57.893096,3.203892,99.228647,32.087102,206.423015,467.151757,143.254945,6.319829,51.285269,51.975661,76.153701,52.841444,0.113097,2.342424,57.588557,4.133717,78.554613,667.019718,5526.222812,50.132066,0.778805,54.601504,137.483729,2.591819,2.467868,44.851432,8.741297
2014-01-01,37.970647,7.815548,99.932333,31.268022,1329.83066,119.977132,15.313184,8.525153,199.945256,129.284456,1.887372,19.935287,276.487635,54.850464,22.476706,37.649058,29.627948,50.36252,0.398869,28.419719,8.646786,37.549541,184.035131,21.554679,25.077521,1.02535,21.551792,59.090762,2.49795,82.768399,32.745745,170.506089,1059.829037,113.89957,4.366923,43.861989,42.433686,65.194345,41.734316,0.089143,5.63032,50.720019,3.239858,64.058717,572.048405,5480.945062,50.97624,0.633986,44.276752,110.704133,2.609647,2.030834,45.806823,7.792605
2014-04-01,42.832278,9.388236,108.49536,33.496828,1373.169364,127.2314,18.321996,9.985926,212.367262,158.649739,2.024039,24.546689,261.818254,56.703075,24.213216,41.50058,33.830674,65.199998,0.682601,35.4921,11.50209,39.596094,108.676462,23.963644,32.279123,1.687969,23.161075,53.292965,3.677028,99.457934,30.049937,214.582519,1522.321713,141.594058,7.211831,47.120191,46.21606,63.444546,48.372723,0.069601,3.210279,56.848746,5.151394,71.197445,653.494348,6224.68035,46.687888,0.704923,55.868808,109.964363,2.833615,2.552071,48.427473,9.511819
2014-07-01,45.700259,11.427496,99.162818,38.495605,1396.741823,149.119033,17.733027,13.079025,205.65006,166.898232,2.047711,27.591762,251.869083,68.103635,29.083207,44.257187,46.571995,65.606054,1.529621,36.842128,11.005196,55.047055,190.308232,28.755979,37.003974,3.310092,27.412209,57.65846,3.361814,106.40317,29.769193,215.832454,769.974799,175.150257,11.109691,54.68463,53.853597,77.176706,54.185435,0.070078,3.939746,64.062454,6.130105,87.519517,702.20588,5879.516412,48.002692,0.787336,62.261916,153.427722,2.80379,3.015463,54.9544,10.822609
2014-10-01,43.744959,9.969707,103.970534,35.84232,1418.801221,138.627919,15.637338,11.821142,219.947423,164.205218,2.549173,25.32568,282.800074,64.10041,28.402112,41.388063,42.771218,68.414056,0.694042,32.751237,10.570018,46.688921,218.379852,26.879676,32.913295,2.112954,25.529326,57.547921,3.075243,91.867944,31.085925,198.829278,902.982513,147.924999,10.360746,47.473273,50.460207,71.854119,50.399989,0.084474,2.443817,59.957814,4.896769,80.096136,718.284181,5942.897956,46.648944,0.8853,53.092252,128.799698,2.708167,2.645445,54.19278,9.462134
2015-01-01,42.193088,7.556505,151.375721,33.247974,1676.78102,118.737426,14.993739,7.756346,204.545338,195.209186,5.515399,16.515216,295.842193,56.674546,24.089043,40.16206,29.625173,79.649782,1.066792,30.737283,12.198791,51.73711,177.062332,22.477095,33.068395,2.971259,27.192737,65.022607,3.28132,84.984073,35.680722,179.536361,519.248353,107.589038,18.339124,38.887744,49.055164,56.221934,49.735984,1.882323,3.721483,42.827928,5.403152,68.327073,770.326099,5741.663555,39.334176,2.931023,59.295823,101.365635,2.547949,5.098841,62.191437,9.84664
2015-04-01,53.756071,11.186138,148.066873,44.222105,1910.923474,133.148589,19.980473,11.308952,250.856826,248.645579,6.040955,25.674821,311.091332,66.592583,28.888159,45.149865,37.305162,99.182267,1.648478,43.195262,17.618212,63.346802,159.951755,29.830555,44.422851,5.861475,29.322253,65.830502,4.956907,105.946063,36.580215,237.13571,63.331408,150.853115,26.997882,54.426338,57.31634,63.788683,69.115647,1.306933,4.843231,63.794022,8.392934,90.642759,874.457475,6169.301128,43.525258,2.976057,88.632433,122.996075,3.112804,3.029448,66.942736,11.152286
