"origin state","origin muni","state","year","weight"
"Aguascalientes","Aguascalientes","illinois",2010,0.0071
"Aguascalientes","Aguascalientes","illinois",2011,0.006168191358124
"Aguascalientes","Aguascalientes","illinois",2012,0.006731788824267
"Aguascalientes","Aguascalientes","illinois",2013,0.005926598525099
"Aguascalientes","Aguascalientes","illinois",2014,0.00556809124485
"Aguascalientes","Aguascalientes","illinois",2015,0.0057505659493638
"Aguascalientes","Aguascalientes","illinois",2016,0.00624645088018171
"Aguascalientes","Aguascalientes","illinois",2017,0.00635707037545514
"Aguascalientes","Aguascalientes","illinois",2018,0.00628559624634816
"Aguascalientes","Aguascalientes","illinois",2019,0.0062496383311151
"Aguascalientes","Aguascalientes","illinois",2020,0.00613555291319857
"Aguascalientes","Aguascalientes","illinois",2021,0.00644810316965071
"Aguascalientes","Aguascalientes","illinois",2022,0.0059715678981734
"Aguascalientes","Aguascalientes","illinois",2023,0.006354616675254
"Aguascalientes","Aguascalientes","illinois",2024,0.00718111186543
"Aguascalientes","Asientos","illinois",2010,8e-04
"Aguascalientes","Asientos","illinois",2011,0.000993319127802
"Aguascalientes","Asientos","illinois",2012,0.000835448732367
"Aguascalientes","Asientos","illinois",2013,0.000846656932157
"Aguascalientes","Asientos","illinois",2014,0.000875627252214
"Aguascalientes","Asientos","illinois",2015,0.000949754104759179
"Aguascalientes","Asientos","illinois",2016,0.00100952741497886
"Aguascalientes","Asientos","illinois",2017,0.00077598042141706
"Aguascalientes","Asientos","illinois",2018,0.000767255879835925
"Aguascalientes","Asientos","illinois",2019,0.000868005323765986
"Aguascalientes","Asientos","illinois",2020,0.000713436385255648
"Aguascalientes","Asientos","illinois",2021,0.000848013568217091
"Aguascalientes","Asientos","illinois",2022,0.000888503182081164
"Aguascalientes","Asientos","illinois",2023,0.000871943244422
"Aguascalientes","Asientos","illinois",2024,0.000965527645772
"Aguascalientes","Calvillo","illinois",2010,0.003
"Aguascalientes","Calvillo","illinois",2011,0.00299597865966
"Aguascalientes","Calvillo","illinois",2012,0.002168953439799
"Aguascalientes","Calvillo","illinois",2013,0.003460250070555
"Aguascalientes","Calvillo","illinois",2014,0.003109599344402
"Aguascalientes","Calvillo","illinois",2015,0.00326559288074731
"Aguascalientes","Calvillo","illinois",2016,0.0034544766231308
"Aguascalientes","Calvillo","illinois",2017,0.00314868978690384
"Aguascalientes","Calvillo","illinois",2018,0.00311328828164193
"Aguascalientes","Calvillo","illinois",2019,0.00312481916555755
"Aguascalientes","Calvillo","illinois",2020,0.00247324613555291
"Aguascalientes","Calvillo","illinois",2021,0.0032480519688315
"Aguascalientes","Calvillo","illinois",2022,0.00307876684023473
"Aguascalientes","Calvillo","illinois",2023,0.002655463517102
"Aguascalientes","Calvillo","illinois",2024,0.002519423700686
"Aguascalientes","Cosio","illinois",2010,0
"Aguascalientes","Cosio","illinois",2011,3.204255251e-05
"Aguascalientes","Cosio","illinois",2012,4.8198965329e-05
"Aguascalientes","Cosio","illinois",2013,1.2270390321e-05
"Aguascalientes","Cosio","illinois",2014,4.4903961652e-05
"Aguascalientes","Cosio","illinois",2015,3.90309906065416e-05
"Aguascalientes","Cosio","illinois",2016,6.30954634361789e-05
"Aguascalientes","Cosio","illinois",2017,2.98454008237331e-05
"Aguascalientes","Cosio","illinois",2018,2.9509841532151e-05
"Aguascalientes","Cosio","illinois",2019,5.7867021584399e-05
"Aguascalientes","Cosio","illinois",2020,7.13436385255648e-05
"Aguascalientes","Cosio","illinois",2021,1.60002560040961e-05
"Aguascalientes","Cosio","illinois",2022,4.13257293991239e-05
"Aguascalientes","Cosio","illinois",2023,3.9633783837e-05
"Aguascalientes","Cosio","illinois",2024,4.5259108396e-05
"Aguascalientes","El Llano","illinois",2010,0
"Aguascalientes","El Llano","illinois",2011,4.8063828765e-05
"Aguascalientes","El Llano","illinois",2012,4.8198965329e-05
"Aguascalientes","El Llano","illinois",2013,4.9081561284e-05
"Aguascalientes","El Llano","illinois",2014,4.4903961652e-05
"Aguascalientes","El Llano","illinois",2015,2.60206604043611e-05
"Aguascalientes","El Llano","illinois",2016,4.73215975771342e-05
"Aguascalientes","El Llano","illinois",2017,5.96908016474661e-05
"Aguascalientes","El Llano","illinois",2018,5.90196830643019e-05
"Aguascalientes","El Llano","illinois",2019,8.68005323765986e-05
"Aguascalientes","El Llano","illinois",2020,2.37812128418549e-05
"Aguascalientes","El Llano","illinois",2021,3.20005120081921e-05
"Aguascalientes","El Llano","illinois",2022,6.19885940986858e-05
"Aguascalientes","El Llano","illinois",2023,1.3211261279e-05
"Aguascalientes","El Llano","illinois",2024,4.5259108396e-05
"Aguascalientes","Jesus Maria","illinois",2010,7e-04
"Aguascalientes","Jesus Maria","illinois",2011,0.000720957431469
"Aguascalientes","Jesus Maria","illinois",2012,0.000883647697696
"Aguascalientes","Jesus Maria","illinois",2013,0.000638060296698
"Aguascalientes","Jesus Maria","illinois",2014,0.000583751501476
"Aguascalientes","Jesus Maria","illinois",2015,0.000819650802737373
"Aguascalientes","Jesus Maria","illinois",2016,0.000583633036784655
"Aguascalientes","Jesus Maria","illinois",2017,0.00073121232018146
"Aguascalientes","Jesus Maria","illinois",2018,0.000722991117537699
"Aguascalientes","Jesus Maria","illinois",2019,0.000665470748220589
"Aguascalientes","Jesus Maria","illinois",2020,0.000832342449464923
"Aguascalientes","Jesus Maria","illinois",2021,0.00105601689627034
"Aguascalientes","Jesus Maria","illinois",2022,0.00117778328787503
"Aguascalientes","Jesus Maria","illinois",2023,0.000832309460584
"Aguascalientes","Jesus Maria","illinois",2024,0.001327600512937
"Aguascalientes","Pabellon De Arteaga","illinois",2010,4e-04
"Aguascalientes","Pabellon De Arteaga","illinois",2011,0.000576765945175
"Aguascalientes","Pabellon De Arteaga","illinois",2012,0.000690851836381
"Aguascalientes","Pabellon De Arteaga","illinois",2013,0.000564437954771
"Aguascalientes","Pabellon De Arteaga","illinois",2014,0.000550073530237
"Aguascalientes","Pabellon De Arteaga","illinois",2015,0.000715568161119929
"Aguascalientes","Pabellon De Arteaga","illinois",2016,0.000646728500220834
"Aguascalientes","Pabellon De Arteaga","illinois",2017,0.000507371814003462
"Aguascalientes","Pabellon De Arteaga","illinois",2018,0.000501667306046567
"Aguascalientes","Pabellon De Arteaga","illinois",2019,0.000520803194259592
"Aguascalientes","Pabellon De Arteaga","illinois",2020,0.000737217598097503
"Aguascalientes","Pabellon De Arteaga","illinois",2021,0.000768012288196611
"Aguascalientes","Pabellon De Arteaga","illinois",2022,0.000475245888089925
"Aguascalientes","Pabellon De Arteaga","illinois",2023,0.000515239189885
"Aguascalientes","Pabellon De Arteaga","illinois",2024,0.00078449121219
"Aguascalientes","Rincon De Romos","illinois",2010,5e-04
"Aguascalientes","Rincon De Romos","illinois",2011,0.000304404248842
"Aguascalientes","Rincon De Romos","illinois",2012,0.000578387583947
"Aguascalientes","Rincon De Romos","illinois",2013,0.000319030148349
"Aguascalientes","Rincon De Romos","illinois",2014,0.00033677971239
"Aguascalientes","Rincon De Romos","illinois",2015,0.000403320236267597
"Aguascalientes","Rincon De Romos","illinois",2016,0.00033125118303994
"Aguascalientes","Rincon De Romos","illinois",2017,0.000596908016474661
"Aguascalientes","Rincon De Romos","illinois",2018,0.000590196830643019
"Aguascalientes","Rincon De Romos","illinois",2019,0.000245934841733696
"Aguascalientes","Rincon De Romos","illinois",2020,0.000285374554102259
"Aguascalientes","Rincon De Romos","illinois",2021,0.000416006656106498
"Aguascalientes","Rincon De Romos","illinois",2022,0.000371931564592115
"Aguascalientes","Rincon De Romos","illinois",2023,0.000356704054536
"Aguascalientes","Rincon De Romos","illinois",2024,0.000422418345025
"Aguascalientes","San Francisco De Los Romo","illinois",2010,2e-04
"Aguascalientes","San Francisco De Los Romo","illinois",2011,0.000352468077607
"Aguascalientes","San Francisco De Los Romo","illinois",2012,0.000224928504868
"Aguascalientes","San Francisco De Los Romo","illinois",2013,0.000490815612845
"Aguascalientes","San Francisco De Los Romo","illinois",2014,0.000572525511063
"Aguascalientes","San Francisco De Los Romo","illinois",2015,0.000351278915458874
