"mx_state","mx_municipality","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District Of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Aguascalientes","Aguascalientes",1.90184280669663e-05,3.43631941614605e-07,5.78463943394308e-05,6.09173828466117e-05,0.00129969819067519,0.000288950409437179,8.54223868923556e-06,5.67130101385398e-06,9.76094470327216e-08,0.000151023278791745,9.55004960970055e-05,4.24372009793285e-07,1.52937210808682e-05,0.000513343900080238,0.000459034863029948,4.11433554793181e-05,7.22205006838197e-05,5.59858054650287e-05,1.52726712610743e-05,0,7.14748101358215e-06,2.16284250481616e-06,4.36334516931591e-05,2.5722987474784e-05,8.55631951146942e-06,2.53491788734346e-05,1.88910277968935e-06,3.25848691678568e-05,0.000105373355232494,3.65463792649408e-07,5.74069726933516e-06,6.74710914709899e-05,1.19178483204191e-05,9.23333741557634e-05,1.64728808380641e-06,2.21669054087266e-05,0.000225365112860803,1.23231254553242e-05,1.1451043160608e-05,2.77623747153913e-07,2.39661342344636e-05,2.68169338446826e-06,7.60441801317799e-05,0.00110289560574485,5.97178726849994e-05,0,2.47233822562931e-05,4.87923171237634e-05,4.73764301200177e-07,4.12701299945483e-05,8.58403260881972e-06
"Aguascalientes","Asientos",8.02023592088765e-07,0,1.86080729882339e-06,8.40237886610214e-06,6.44068648026784e-05,2.88416408941424e-05,1.04061174650864e-07,0,0,9.2945293460122e-06,7.15113017427642e-06,0,7.83402683034745e-07,7.16730922709478e-05,1.63266098111119e-05,4.68852207728647e-07,3.57521180917459e-06,1.32440136885768e-06,4.0736117426538e-07,0,6.21386119546694e-07,8.05057357530907e-08,1.84748299207774e-06,6.01969713905224e-07,6.73214263346918e-07,9.44133362991709e-08,0,8.72535445361488e-07,2.64623716414057e-06,0,8.03976209057612e-08,3.63258852673968e-06,2.30277212406314e-06,1.98766540772536e-05,0,6.51234111370641e-07,1.95372730064393e-05,3.6302633728293e-07,0,0,1.72768983220094e-06,0,1.0971486095516e-05,0.00012693527812527,5.5934742295096e-06,0,5.27907933638335e-07,1.338773418989e-06,0,7.38254453310552e-07,6.9050926093758e-08
"Aguascalientes","Calvillo",4.01202767304772e-06,0,6.76519551018037e-06,6.82444305036838e-06,0.000270877307277054,8.35361091206999e-05,8.7097422647908e-08,1.89675482450503e-07,9.44133362991709e-08,1.91864330940075e-05,3.8823639857543e-05,3.07495657881854e-07,1.76382862280933e-05,0.000245986024028633,2.17521891765169e-05,3.43054431201427e-06,3.64279735670318e-05,2.85941229136646e-06,2.1022937309789e-06,0,5.10844408452847e-07,0,2.30445181246252e-06,4.24936600058619e-06,3.73829431592437e-06,2.8778502231894e-06,1.411385971987e-06,2.03408450028042e-06,1.04171864825312e-05,0,8.34403525388271e-08,5.50177099918379e-06,7.86219746730852e-07,3.73608563393747e-05,7.86101784740786e-07,3.81913702961478e-06,0.000319782207919999,6.29979409430979e-06,6.0837833176313e-07,0,1.96456575600013e-06,3.78422761580388e-06,4.53315594447763e-06,0.000122890235492392,1.93071370678952e-05,0,1.25830884917217e-06,1.2326408026843e-05,0,6.99920002147866e-06,6.26559453653948e-07
"Aguascalientes","Cosio",1.90469805207661e-07,0,5.90931353795898e-07,7.08927288845826e-07,3.35692811142515e-05,4.2802372072652e-05,0,0,0,1.41318289638139e-06,3.7704205267634e-07,0,6.73203672525907e-07,3.13678914293195e-06,1.33232143380296e-06,0,1.61655064960398e-06,1.38101852187516e-07,1.89675482450503e-07,0,8.34403525388271e-08,0,4.65291997421707e-07,0,0,2.18654367328138e-06,0,1.78632661459686e-07,2.79894313300573e-05,0,0,8.73627377367757e-06,0,0,0,9.29532339266662e-08,3.09631614669671e-06,6.68400469537334e-07,0,0,6.9050926093758e-08,0,3.79350964901005e-07,1.37807182825065e-05,2.14206634337719e-06,0,2.88266557511614e-07,6.9050926093758e-08,0,9.76978229090416e-07,0
"Aguascalientes","Delicias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76094470327216e-08,0,0,0,0,0,0,0
"Aguascalientes","El Llano",4.91356438976765e-07,0,3.13890461664841e-07,9.38159642200682e-07,8.99959256778856e-06,2.01408444543607e-06,0,9.44133362991709e-08,0,1.57239146398894e-05,2.99005208846368e-07,0,1.00630045564458e-06,3.91113836735359e-06,2.69752632258793e-05,3.58021368059674e-07,5.37666170329122e-07,9.76094470327216e-08,2.59894442353078e-07,0,8.03976209057612e-08,0,9.76094470327216e-08,9.76094470327216e-08,3.66237687112084e-07,0,0,6.49753601998138e-07,2.74581015520846e-07,0,0,9.60564689084902e-08,0,2.45926034843505e-06,0,8.05057357530907e-08,7.1624063038857e-06,0,0,0,2.70819579544381e-07,0,2.34666649579704e-06,1.71743588928419e-05,5.0254044527391e-07,0,6.38645897555581e-07,3.81472467135552e-07,0,1.76562204661581e-07,0
"Aguascalientes","Jesus Maria",8.27669486903424e-07,8.05057357530907e-08,6.14234792113144e-06,4.58385045334154e-06,0.000113192568094347,5.62940102378611e-05,2.49370999776383e-07,5.16799766210217e-07,0,9.14237962512779e-06,6.32763306939888e-06,0,1.42522656228174e-06,6.50545988208602e-05,2.46260528392686e-05,1.15510377867536e-05,4.44734455884612e-06,4.76081314973224e-06,5.08352035409066e-07,0,3.62800538636087e-07,1.35775278879028e-07,3.88195637729235e-06,7.77039263826729e-06,3.30994172944472e-07,2.08887786509746e-06,2.33902204585624e-07,2.05749670165241e-06,4.31946584457507e-06,0,7.89523589402292e-07,1.53277356604646e-05,5.77236999477529e-07,6.91632185335021e-06,0,2.00188237602074e-06,1.88761173059516e-05,5.24315115857957e-07,1.78115182785812e-07,0,9.99724817137418e-07,9.34661557323709e-07,6.41696759655774e-06,6.47127041773539e-05,5.50936130277703e-06,0,1.12093931424048e-06,5.26236002404621e-06,1.35775278879028e-07,1.2352225342389e-06,3.54677387447393e-07
"Aguascalientes","Pabellon De Arteaga",6.81828996779886e-07,0,4.54878783088136e-06,1.33022327419262e-05,9.29419370794169e-05,5.92418505356049e-05,4.5777808048792e-07,0,1.92022783331893e-07,1.3383763955636e-05,6.72174805610852e-06,0,2.8386302010283e-07,4.64680147946628e-05,7.81732247713513e-06,5.04406584087087e-06,6.91176538491243e-06,1.9787538381447e-05,1.52878547742545e-06,0,5.54209591998765e-07,8.05057357530907e-08,1.40821720004589e-06,0,1.61767379515043e-06,3.2036242151641e-06,0,4.38278511953897e-06,9.89020106398522e-06,0,1.79496821447317e-07,3.52152117739893e-06,1.06208747744439e-06,1.33427546243695e-05,0,2.64990534824619e-06,4.88215362409193e-05,1.78118025830473e-06,5.94780587365078e-07,0,1.54130462253427e-06,3.8541185518982e-07,5.92595244298041e-06,0.000186574883341123,1.18144884586177e-05,0,1.31424646611365e-06,8.25479505257218e-06,0,2.89056482542271e-06,2.90182176924612e-06
"Aguascalientes","Rincon De Romos",8.03508803089454e-07,4.87829299128824e-07,4.96167353374487e-06,3.98608558404445e-05,0.000150275784934122,0.000147170810483757,5.77932711213968e-07,0,0,1.19640545701491e-05,6.75262804960822e-06,0,2.94387013424159e-06,3.31849266858137e-05,8.33500795981739e-06,5.52092405599599e-06,7.42397235482738e-06,9.3615294284111e-06,3.77989616832194e-06,0,3.75845170008777e-06,0,3.37579604067563e-06,1.36977211656108e-06,1.74283234552489e-06,1.20764290278498e-05,6.9050926093758e-08,3.72224447971671e-05,3.0774862345605e-05,0,4.51035105335098e-07,1.35466061912447e-05,9.29347700305831e-07,1.23529048448745e-05,0,4.97048807447957e-06,0.000187803706317421,2.23129783607482e-06,4.65216473699269e-07,0,4.33236183014029e-06,4.83515533295687e-07,1.26753708187859e-05,0.000154174377870256,2.68002615566858e-05,0,2.79764369044839e-06,5.31730569661703e-06,0,3.94736728572179e-06,1.83044765356035e-06
"Aguascalientes","San Francisco De Los Romo",8.03976209057612e-08,0,1.68826918902148e-06,4.84137749774624e-06,1.50031808991187e-05,9.03057210943204e-06,2.06342288974966e-07,0,0,2.16023741411558e-06,6.24738297009501e-07,0,3.55086751273937e-07,3.4066388968648e-05,1.71959571294675e-06,3.4634176857355e-06,7.08362756830639e-07,1.395557926264e-05,0,0,1.89675482450503e-07,0,3.52955791127074e-07,5.17503862524963e-07,0,1.02142204266171e-06,0,8.03976209057612e-08,9.73083632180917e-07,0,0,8.18121908851041e-07,1.76454089814251e-07,1.43452659059298e-06,0,2.75616514971205e-07,1.37602091375249e-06,0,0,0,8.03976209057612e-08,0,1.57010526852312e-06,1.49235506648519e-05,7.70168529258192e-07,0,3.56335855576982e-07,1.36302242744738e-06,0,5.73904079351102e-07,0
"Aguascalientes","San Francisco Del Rincon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76094470327216e-08,0,0,0,0,0,0,0
"Aguascalientes","San Jose De Gracia",5.36089134858746e-07,0,4.16773519426595e-07,2.74003033498215e-07,4.86083200047461e-05,2.14063313160963e-06,0,0,9.60564689084902e-08,1.21467775168536e-06,1.1292022472071e-06,0,9.44133362991709e-08,1.72356954136349e-06,4.08478829364966e-07,1.63464262392929e-07,6.49932089018826e-07,9.13227580970639e-08,0,0,0,0,8.03976209057612e-08,0,0,0,0,6.34685009888317e-07,2.87192943017973e-06,0,0,9.6672240826238e-07,9.44133362991709e-08,0,0,8.03976209057612e-08,4.10793433345052e-06,3.67529171288501e-07,0,0,0,0,6.88811290297187e-07,5.96280871255776e-05,9.76094470327216e-08,0,0,5.83166955899145e-06,0,2.78859382943827e-06,0
"Aguascalientes","Tepezala",2.45613130755339e-07,0,1.73938808744058e-06,1.41976450432433e-06,6.77794665516615e-05,4.41017054844614e-05,0,9.13227580970639e-08,0,1.77329134603651e-06,4.20255469764183e-07,0,5.97958552841612e-07,2.13157801065591e-06,2.44423766924374e-06,1.74763110635891e-07,1.16726588434012e-06,5.4487034857177e-07,3.14664056849097e-07,0,0,0,0,0,3.13890461664841e-07,6.9050926093758e-08,0,4.35884666630583e-07,1.14164574748475e-06,0,0,2.64910787727086e-06,9.44133362991709e-08,1.82787073663423e-06,0,1.04738084092809e-06,7.73497439472483e-06,4.81964167813867e-07,4.97279255179686e-07,0,4.26662930326888e-07,0,1.76562204661581e-07,2.48660935587517e-05,8.19672177309478e-06,0,0,1.79496821447317e-07,0,6.9050926093758e-08,7.20672934414015e-07
"Baja California","Ensenada",3.20450174976321e-06,1.99579412460807e-06,2.81814912379279e-05,3.4225228007676e-06,0.00109416301239839,1.54127318961747e-05,4.40392861365373e-07,9.25214016602218e-07,2.74520512172089e-07,3.76604715951179e-05,1.2314993644549e-05,1.63946088291918e-07,6.83189853073376e-06,3.14483444399406e-05,1.17202285461769e-05,4.4089721851415e-06,1.26936147685671e-05,1.50605847157198e-06,1.23625241283364e-06,9.81269257065952e-08,9.27935013920067e-07,7.95508966590232e-07,2.50875677927736e-06,5.56522810632191e-06,1.21256227506143e-06,4.60078179286155e-06,1.92540262005766e-07,3.51001727882648e-06,6.18010220633788e-05,2.28728512805695e-07,4.03736482323945e-06,6.5019794483453e-06,7.2258855954049e-06,1.36127498778286e-05,3.02953130679382e-07,2.96775671159765e-06,7.4839381735226e-06,3.6877408802719e-05,4.18749872096007e-06,0,7.47828102867919e-06,1.22275952671509e-06,6.3034384363216e-06,5.32138752021785e-05,2.41601619006425e-05,0,4.22065072493299e-06,2.35768537320344e-05,6.9050926093758e-08,4.83729193775413e-06,4.11521560998032e-07
"Baja California","Guadalupe Victoria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76094470327216e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baja California","Mexicali",4.87265331498254e-06,8.85185746186739e-07,0.000250609888074794,5.81898599235793e-06,0.00260198609523443,3.06089518194339e-05,1.17337998478705e-06,1.4277518404777e-06,3.28081208459205e-07,1.92993078009987e-05,1.30442734914786e-05,1.15141999771536e-06,1.66390275159293e-05,5.26495707966559e-05,1.21875209321104e-05,1.09796222616979e-05,1.02064385067058e-05,3.57890082020351e-06,2.56732370354745e-06,8.03976209057612e-08,1.79656242036595e-06,8.2659967837288e-07,4.43456888319167e-06,4.89614403080839e-06,1.41041365000795e-06,6.24908685730485e-06,9.13227580970639e-08,1.33028620504407e-05,0.000204655835323323,1.67177851800353e-07,3.31832296831097e-06,1.25820969829253e-05,8.63936818200853e-06,1.4201182389833e-05,7.25528476729417e-07,4.12921664294548e-06,1.37564609005064e-05,3.06443698289803e-05,3.34493103856277e-06,8.05057357530907e-08,5.55578896671945e-06,9.76094470327216e-08,8.98141251389426e-06,0.000107631718854069,4.85145153875671e-05,2.44343709197679e-07,3.84434083097991e-06,2.46987127386433e-05,0,1.15168053873647e-05,2.54791767057379e-06
"Baja California","Playas De Rosarito",0,0,9.11476621258262e-07,1.93665915941212e-07,2.87287298212128e-05,4.39688410523095e-07,0,0,0,7.48051699349045e-08,2.84088818749674e-07,0,1.94183394615085e-07,1.08967795758923e-06,8.34403525388271e-08,0,1.63946088291918e-07,0,2.31831747787519e-07,0,0,0,3.83010067213427e-07,3.31511651618345e-07,0,1.25621036871072e-06,0,0,2.72913789502169e-06,0,0,5.42815227293934e-07,0,9.13227580970639e-08,0,1.88826672598342e-07,8.34403525388271e-08,2.74581015520846e-07,9.76094470327216e-08,0,2.82628716377169e-07,0,2.87802408157098e-07,2.38802755927225e-06,6.5433562642761e-07,0,9.76094470327216e-08,4.45837098404623e-07,0,4.10612410910258e-07,0
"Baja California","San Quintin",0,0,0,0,1.66246547159951e-06,9.76094470327216e-08,0,0,0,6.35582609506083e-07,0,0,0,2.93345819772038e-07,9.76094470327216e-08,0,9.81269257065952e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81269257065952e-08,0,1.95736372739317e-07,0,0,0,0,0,0,0,0,0,1.95736372739317e-07,0,0,9.76094470327216e-08,9.76094470327216e-08,0,0,0
"Baja California","Tecate",0,0,5.36578101815969e-06,1.20874979364852e-06,0.00015422308947935,4.19148875850877e-06,1.61902592582813e-07,0,0,1.7770434311263e-06,1.10578471154142e-06,2.64490152110376e-07,9.23965544147168e-07,4.97632444857401e-06,1.90745578379101e-06,3.65843270269152e-07,2.89207085339857e-07,3.5761200423313e-07,8.03976209057612e-08,0,4.22672496836179e-07,0,1.09034608444999e-06,3.57049093224713e-07,0,2.8817212799211e-07,0,6.2420816155591e-07,9.44224342561084e-06,0,1.78632661459686e-07,1.2657677547055e-06,4.26928957113518e-07,1.36390698524612e-06,0,1.67177851800353e-07,1.01103470139889e-06,1.44021661682566e-06,5.90238060162606e-07,0,9.13227580970639e-08,0,8.21631335857444e-07,9.33904207679204e-06,4.04499644890024e-06,0,3.67529171288501e-07,1.60251131756962e-06,0,9.33055376380638e-07,0
"Baja California","Tijuana",1.54955463253861e-05,1.38143109909783e-06,9.22874161359172e-05,1.78322915541732e-05,0.00349669175631578,5.61633696905207e-05,3.70743742326025e-06,2.14107967532003e-06,4.3977620811581e-07,3.38450659769588e-05,4.07813748734842e-05,6.41333882808686e-07,2.40643371685397e-05,0.000129365716351236,2.77139415445403e-05,1.00974771382363e-05,2.68537257372656e-05,7.58171938938989e-06,3.47294682142664e-06,4.16773519426595e-07,3.17497189799749e-06,1.59472146141925e-06,1.22712985066965e-05,2.19828904168945e-05,3.63954938328532e-06,1.82294594035458e-05,2.87802408157098e-07,1.62007923613131e-05,0.00024366446408569,4.97965463089515e-07,1.21798576078199e-05,2.05134263061128e-05,1.99845971403599e-05,4.21250415815159e-05,7.19747256151112e-07,4.51959389242415e-06,2.49297803820061e-05,5.50500289429897e-05,7.47444521509256e-06,4.11755893423622e-07,1.08789819605694e-05,1.1779659023549e-06,2.51472179833433e-05,0.000228381142108777,0.000100030672360506,9.81269257065952e-08,8.57935232938692e-06,4.8764891611914e-05,6.80645627450798e-07,3.27037155202707e-05,4.87445552886353e-06
"Baja California Sur","Comondu",7.02963112837913e-07,0,4.24395666199241e-06,3.58129482907003e-07,0.000118658703667256,3.76363104826151e-06,0,6.65143314889868e-07,8.34403525388271e-08,3.66130854982263e-06,1.13283341383565e-06,9.44133362991709e-08,8.88008723337602e-07,4.92403449869029e-06,1.24982376750524e-06,1.32227879832043e-06,2.25091401282404e-06,0,8.03976209057612e-08,0,1.49556661846849e-07,0,3.67974230416015e-07,2.09376978214561e-06,9.20233931010495e-07,9.40845934735257e-07,0,4.13564988058236e-07,8.25778061031099e-06,9.60564689084902e-08,5.91692591478857e-07,1.3050627049308e-06,9.21938366713238e-07,3.3558366920522e-06,0,4.56087686056926e-07,1.30573990057323e-06,4.13269327044045e-06,9.57236603100274e-07,6.9050926093758e-08,4.31349225151574e-07,9.60564689084902e-08,2.89296396926674e-06,1.70659481049719e-05,3.96411740068909e-06,0,1.24837246775943e-06,4.26702071538417e-06,0,8.80524733112224e-07,1.49556661846849e-07
"Baja California Sur","La Paz",1.61840163684194e-06,9.44133362991709e-08,7.91291910528632e-06,1.62752657335289e-06,0.000114393739812884,5.93211608400456e-06,0,2.59030282365447e-07,1.89675482450503e-07,5.91261311817574e-06,5.52322205468853e-06,1.35775278879028e-07,1.61686464556186e-06,1.22604339388613e-05,2.62640727006709e-06,7.18465536438711e-07,1.44665495233472e-06,1.25082399555765e-06,6.57118633243086e-07,0,3.52913946196588e-07,2.66304088759094e-07,1.14213654442406e-06,1.04082495062287e-06,3.23141849104866e-07,9.83086306494342e-07,1.89675482450503e-07,1.3777665320593e-06,1.01535603065197e-05,0,1.3540670086904e-06,2.55187989374047e-06,1.1652590241195e-06,7.55767568643542e-06,2.84976017258559e-07,3.50049166641325e-07,1.88801844670265e-06,4.66815513921669e-06,4.52040183155328e-07,0,1.61910080080991e-06,0,1.02435147722357e-06,2.96005998361118e-05,1.0051719974612e-05,8.34403525388271e-08,1.40738954663385e-06,3.04846865871054e-06,0,1.18118701664807e-06,1.88826672598342e-07
"Baja California Sur","Loreto",0,0,9.76094470327216e-08,0,2.16346272462281e-06,1.38101852187516e-07,0,0,0,0,1.89675482450503e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26245084086689e-07,0,0,9.60564689084902e-08,0,0,0,0,0,0,0,0,0,0,0,3.3822737302882e-07,2.76242108492407e-07,0,0,0,0,0,0
"Baja California Sur","Los Cabos",2.88596730914256e-07,0,7.98585624678527e-07,1.89675482450503e-07,1.5241022472682e-05,3.60199939705108e-07,1.47089885452281e-07,7.87286776435565e-07,0,3.12646458490444e-07,1.66020624752484e-06,0,6.9050926093758e-08,9.85805353039349e-07,6.04627486607675e-07,0,3.79350964901005e-07,0,9.81269257065952e-08,0,0,9.76094470327216e-08,4.70834866934037e-07,9.81269257065952e-08,0,9.76094470327216e-08,1.35775278879028e-07,1.78632661459686e-07,7.8332008466397e-07,0,9.76094470327216e-08,4.36175811714727e-07,4.40293686789683e-07,3.2750446473766e-06,9.76094470327216e-08,1.35775278879028e-07,7.13209917400741e-07,0,9.81269257065952e-08,0,5.96363883352848e-07,0,2.87136628541752e-07,4.36343057081492e-06,1.60834682421814e-06,0,4.36580097382259e-07,7.4548053716576e-07,0,4.15469482831046e-07,0
"Baja California Sur","Mulege",1.73350854832427e-07,0,1.77699798609576e-06,7.39171733538068e-07,3.83887334569625e-05,1.67177851800353e-07,0,0,0,7.1674928767584e-06,2.51540736120977e-06,0,8.60796040446288e-07,1.51404766315742e-06,4.43419960292761e-07,0,9.81269257065952e-08,2.82628716377169e-07,3.51265047019184e-07,0,1.89675482450503e-07,9.76094470327216e-08,6.3912772345457e-07,4.75168978382935e-07,0,1.74810957204932e-07,1.35775278879028e-07,3.33724539023249e-07,2.30383610818192e-06,0,7.42506380749076e-07,2.85223825878548e-07,6.1763497511282e-07,1.65389436858426e-06,0,4.73013438579471e-07,5.01016076727186e-07,2.59055867267481e-06,1.9577811091999e-06,0,4.43238396851567e-06,0,1.0598647185913e-06,3.81496931377171e-06,1.91763433113074e-06,0,6.92314153002686e-07,1.41601073550205e-06,0,3.68308143910189e-07,0
"Campeche","Calakmul",2.80767625766858e-06,0,1.95736372739317e-07,1.95736372739317e-07,1.06320045418412e-06,2.86541652162507e-07,0,0,0,6.37825017092869e-07,5.83587862459642e-07,0,0,0,1.95736372739317e-07,9.76094470327216e-08,9.76094470327216e-08,9.81269257065952e-08,9.13227580970639e-08,0,0,0,0,2.93345819772038e-07,0,9.76094470327216e-08,0,6.81197309492364e-07,9.13227580970639e-08,0,9.76094470327216e-08,9.81269257065952e-08,9.81269257065952e-08,6.84818565250672e-07,0,7.83462969631141e-07,0,0,0,0,9.76094470327216e-08,0,1.95218894065443e-07,8.75898724883933e-07,0,0,6.68106452947175e-07,9.76094470327216e-08,9.81269257065952e-08,0,0
"Campeche","Calkini",7.26759735153632e-07,0,1.81567278245422e-07,0,8.23977571521894e-06,6.19863400891746e-07,1.61902592582813e-07,1.60373684190822e-07,0,2.13851018652232e-06,1.43780553489554e-06,0,0,1.88932205129786e-07,1.2486163078967e-06,2.80998240547567e-07,4.40693488343325e-07,5.28056234579807e-07,0,0,8.03976209057612e-08,9.76094470327216e-08,0,6.9050926093758e-08,7.03065461117157e-07,9.81269257065952e-08,9.44133362991709e-08,2.67776847911315e-07,1.65928905176929e-06,8.05057357530907e-08,0,3.44649676214552e-07,9.81269257065952e-08,7.92259526537323e-07,0,9.76094470327216e-08,1.67177851800353e-07,8.49419306913598e-07,1.87379227005554e-07,0,4.89396849621449e-07,0,5.58447775715207e-07,3.86237742845976e-06,0,0,2.06115329514106e-06,1.63464262392929e-07,0,0,0
"Campeche","Campeche",5.98824828694637e-06,0,1.77857507290883e-06,3.76129923869893e-06,8.42051473490778e-05,6.57605985720201e-06,2.91857934052661e-07,3.29958673494114e-07,9.44133362991709e-08,1.43165052475854e-05,1.08596640858761e-05,0,1.17676155656489e-06,1.23803853594999e-05,9.4379488421429e-06,7.32903349570012e-06,3.54064863032291e-06,1.71045447366188e-06,2.45563163391893e-06,0,1.75862022203037e-06,3.12337483540609e-07,4.34995816512629e-06,8.30174364054262e-06,4.10572309014462e-06,7.32491382314415e-06,0,8.03153661611269e-06,1.97421388533487e-05,0,2.41516180846629e-06,1.35337992675071e-06,4.56013577637114e-06,8.90081579124134e-06,9.60564689084902e-08,2.31229283339283e-06,5.00204613983138e-06,1.80814513799467e-06,4.11629675845362e-07,0,2.69665656655092e-06,4.53834303382591e-07,3.06682952448726e-06,0.000112888593604397,2.77481994952833e-06,9.81269257065952e-08,4.89971423402448e-06,2.79409999779387e-06,1.76562204661581e-07,1.48475625053765e-06,1.92022783331893e-07
