date,year,quarter,mx_state,mx_muni,mx_state_norm,mx_muni_norm,remit_musd
2013-01-01,2013,1,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,40.690177
2013-04-01,2013,2,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,47.164073
2013-07-01,2013,3,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,44.001068
2013-10-01,2013,4,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,46.419031
2014-01-01,2014,1,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,46.458792
2014-04-01,2014,2,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,49.023317
2014-07-01,2014,3,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,46.008212
2014-10-01,2014,4,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,48.201841
2015-01-01,2015,1,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,47.967284
2015-04-01,2015,2,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,51.296273
2015-07-01,2015,3,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,52.315916
2015-10-01,2015,4,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,50.227159
2016-01-01,2016,1,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,52.842454
2016-04-01,2016,2,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,57.601149
2016-07-01,2016,3,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,59.16572
2016-10-01,2016,4,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,59.368743
2017-01-01,2017,1,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,57.980699
2017-04-01,2017,2,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,63.057783
2017-07-01,2017,3,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,61.756674
2017-10-01,2017,4,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,64.601995
2018-01-01,2018,1,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,60.96511
2018-04-01,2018,2,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,73.280705
2018-07-01,2018,3,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,69.217708
2018-10-01,2018,4,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,73.065541
2019-01-01,2019,1,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,66.217691
2019-04-01,2019,2,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,76.917815
2019-07-01,2019,3,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,80.325247
2019-10-01,2019,4,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,75.890028
2020-01-01,2020,1,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,73.811528
2020-04-01,2020,2,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,78.793024
2020-07-01,2020,3,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,76.604099
2020-10-01,2020,4,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,82.348782
2021-01-01,2021,1,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,82.405254
