date,year,quarter,us_state,remit_musd
2013-01-01,2013,1,Alabama,46.995605
2013-04-01,2013,2,Alabama,60.555131
2013-07-01,2013,3,Alabama,45.960645
2013-10-01,2013,4,Alabama,45.338249
2014-01-01,2014,1,Alabama,37.970647
2014-04-01,2014,2,Alabama,42.832278
2014-07-01,2014,3,Alabama,45.700259
2014-10-01,2014,4,Alabama,43.744959
2015-01-01,2015,1,Alabama,42.193088
2015-04-01,2015,2,Alabama,53.756071
2015-07-01,2015,3,Alabama,52.25144
2015-10-01,2015,4,Alabama,49.654287
2016-01-01,2016,1,Alabama,51.849706
2016-04-01,2016,2,Alabama,66.406687
2016-07-01,2016,3,Alabama,55.462327
2016-10-01,2016,4,Alabama,56.640863
2017-01-01,2017,1,Alabama,59.146174
2017-04-01,2017,2,Alabama,64.141186
2017-07-01,2017,3,Alabama,61.828382
2017-10-01,2017,4,Alabama,64.325579
2018-01-01,2018,1,Alabama,54.249835
2018-04-01,2018,2,Alabama,77.165406
2018-07-01,2018,3,Alabama,68.753175
2018-10-01,2018,4,Alabama,72.487999
2019-01-01,2019,1,Alabama,68.124893
2019-04-01,2019,2,Alabama,81.209295
2019-07-01,2019,3,Alabama,69.520349
2019-10-01,2019,4,Alabama,63.364379
2020-01-01,2020,1,Alabama,67.206147
2020-04-01,2020,2,Alabama,68.708719
2020-07-01,2020,3,Alabama,73.838964
2020-10-01,2020,4,Alabama,76.364698
2021-01-01,2021,1,Alabama,76.072578
2021-04-01,2021,2,Alabama,89.08712
2021-07-01,2021,3,Alabama,86.664484
2021-10-01,2021,4,Alabama,89.832254
2022-01-01,2022,1,Alabama,81.051959
2022-04-01,2022,2,Alabama,100.963696
2022-07-01,2022,3,Alabama,104.303933
2022-10-01,2022,4,Alabama,109.760533
2023-01-01,2023,1,Alabama,84.876883
2023-04-01,2023,2,Alabama,96.696331
2023-07-01,2023,3,Alabama,175.310361
2023-10-01,2023,4,Alabama,152.364136
2024-01-01,2024,1,Alabama,136.471239
2024-04-01,2024,2,Alabama,172.954735
2024-07-01,2024,3,Alabama,169.047024
2024-10-01,2024,4,Alabama,163.175874
2025-01-01,2025,1,Alabama,151.976311
2025-04-01,2025,2,Alabama,175.355131
2025-07-01,2025,3,Alabama,179.962386
2013-01-01,2013,1,Alaska,8.924355
2013-04-01,2013,2,Alaska,12.480323
2013-07-01,2013,3,Alaska,12.17758
2013-10-01,2013,4,Alaska,9.568414
2014-01-01,2014,1,Alaska,7.815548
2014-04-01,2014,2,Alaska,9.388236
2014-07-01,2014,3,Alaska,11.427496
2014-10-01,2014,4,Alaska,9.969707
2015-01-01,2015,1,Alaska,7.556505
2015-04-01,2015,2,Alaska,11.186138
2015-07-01,2015,3,Alaska,14.678774
2015-10-01,2015,4,Alaska,9.774035
2016-01-01,2016,1,Alaska,10.180014
2016-04-01,2016,2,Alaska,10.418436
2016-07-01,2016,3,Alaska,10.643635
2016-10-01,2016,4,Alaska,9.368241
2017-01-01,2017,1,Alaska,8.022682
2017-04-01,2017,2,Alaska,9.291913
2017-07-01,2017,3,Alaska,9.219697
2017-10-01,2017,4,Alaska,9.488539
2018-01-01,2018,1,Alaska,7.803983
2018-04-01,2018,2,Alaska,10.275021
2018-07-01,2018,3,Alaska,9.987727
2018-10-01,2018,4,Alaska,10.035138
2019-01-01,2019,1,Alaska,10.132788
2019-04-01,2019,2,Alaska,11.657902
2019-07-01,2019,3,Alaska,17.756014
2019-10-01,2019,4,Alaska,12.449093
2020-01-01,2020,1,Alaska,14.275632
2020-04-01,2020,2,Alaska,20.84523
2020-07-01,2020,3,Alaska,23.395421
2020-10-01,2020,4,Alaska,19.668427
2021-01-01,2021,1,Alaska,12.350627
2021-04-01,2021,2,Alaska,9.847633
2021-07-01,2021,3,Alaska,13.665704
2021-10-01,2021,4,Alaska,10.529392
2022-01-01,2022,1,Alaska,8.974723
2022-04-01,2022,2,Alaska,10.186988
2022-07-01,2022,3,Alaska,15.059887
2022-10-01,2022,4,Alaska,10.705451
2023-01-01,2023,1,Alaska,22.535262
2023-04-01,2023,2,Alaska,26.010519
2023-07-01,2023,3,Alaska,26.645327
2023-10-01,2023,4,Alaska,22.620251
2024-01-01,2024,1,Alaska,19.95656
2024-04-01,2024,2,Alaska,22.214042
2024-07-01,2024,3,Alaska,22.881488
2024-10-01,2024,4,Alaska,20.84539
2025-01-01,2025,1,Alaska,18.124568
2025-04-01,2025,2,Alaska,15.28239
2025-07-01,2025,3,Alaska,16.534773
2013-01-01,2013,1,Arizona,121.102347
2013-04-01,2013,2,Arizona,134.002384
2013-07-01,2013,3,Arizona,110.283953
2013-10-01,2013,4,Arizona,110.051938
2014-01-01,2014,1,Arizona,99.932333
2014-04-01,2014,2,Arizona,108.49536
2014-07-01,2014,3,Arizona,99.162818
2014-10-01,2014,4,Arizona,103.970534
2015-01-01,2015,1,Arizona,151.375721
2015-04-01,2015,2,Arizona,148.066873
2015-07-01,2015,3,Arizona,139.112355
2015-10-01,2015,4,Arizona,141.938648
2016-01-01,2016,1,Arizona,165.6832
2016-04-01,2016,2,Arizona,148.092642
2016-07-01,2016,3,Arizona,160.331804
2016-10-01,2016,4,Arizona,167.37455
2017-01-01,2017,1,Arizona,190.571068
2017-04-01,2017,2,Arizona,184.471616
2017-07-01,2017,3,Arizona,179.408002
2017-10-01,2017,4,Arizona,188.188437
2018-01-01,2018,1,Arizona,202.951076
2018-04-01,2018,2,Arizona,222.536058
2018-07-01,2018,3,Arizona,212.163276
2018-10-01,2018,4,Arizona,215.720905
2019-01-01,2019,1,Arizona,209.526865
2019-04-01,2019,2,Arizona,244.739707
2019-07-01,2019,3,Arizona,271.258053
2019-10-01,2019,4,Arizona,286.131047
2020-01-01,2020,1,Arizona,348.333201
2020-04-01,2020,2,Arizona,435.138906
2020-07-01,2020,3,Arizona,389.95361
2020-10-01,2020,4,Arizona,391.731351
2021-01-01,2021,1,Arizona,430.740971
2021-04-01,2021,2,Arizona,499.653231
2021-07-01,2021,3,Arizona,465.679483
2021-10-01,2021,4,Arizona,527.906819
2022-01-01,2022,1,Arizona,507.16609
2022-04-01,2022,2,Arizona,572.936972
2022-07-01,2022,3,Arizona,563.497228
2022-10-01,2022,4,Arizona,587.79704
2023-01-01,2023,1,Arizona,539.515689
2023-04-01,2023,2,Arizona,621.699957
2023-07-01,2023,3,Arizona,300.641733
2023-10-01,2023,4,Arizona,286.063706
2024-01-01,2024,1,Arizona,282.839012
2024-04-01,2024,2,Arizona,341.774129
2024-07-01,2024,3,Arizona,325.557882
2024-10-01,2024,4,Arizona,339.901108
2025-01-01,2025,1,Arizona,325.324932
2025-04-01,2025,2,Arizona,337.309151
2025-07-01,2025,3,Arizona,351.02146
2013-01-01,2013,1,Arkansas,38.739154
2013-04-01,2013,2,Arkansas,44.441293
2013-07-01,2013,3,Arkansas,40.630385
2013-10-01,2013,4,Arkansas,37.542615
2014-01-01,2014,1,Arkansas,31.268022
2014-04-01,2014,2,Arkansas,33.496828
2014-07-01,2014,3,Arkansas,38.495605
2014-10-01,2014,4,Arkansas,35.84232
2015-01-01,2015,1,Arkansas,33.247974
2015-04-01,2015,2,Arkansas,44.222105
2015-07-01,2015,3,Arkansas,49.564192
2015-10-01,2015,4,Arkansas,43.849975
2016-01-01,2016,1,Arkansas,44.821736
2016-04-01,2016,2,Arkansas,52.743094
2016-07-01,2016,3,Arkansas,53.603
2016-10-01,2016,4,Arkansas,52.797795
2017-01-01,2017,1,Arkansas,51.710038
2017-04-01,2017,2,Arkansas,59.125776
2017-07-01,2017,3,Arkansas,57.266507
2017-10-01,2017,4,Arkansas,59.279773
2018-01-01,2018,1,Arkansas,49.999713
2018-04-01,2018,2,Arkansas,61.862848
2018-07-01,2018,3,Arkansas,53.259579
2018-10-01,2018,4,Arkansas,55.53419
2019-01-01,2019,1,Arkansas,50.131746
2019-04-01,2019,2,Arkansas,60.488789
2019-07-01,2019,3,Arkansas,62.816524
2019-10-01,2019,4,Arkansas,57.001973
2020-01-01,2020,1,Arkansas,53.275133
2020-04-01,2020,2,Arkansas,62.140364
2020-07-01,2020,3,Arkansas,69.606803
2020-10-01,2020,4,Arkansas,65.087207
2021-01-01,2021,1,Arkansas,55.714565
2021-04-01,2021,2,Arkansas,77.727563
2021-07-01,2021,3,Arkansas,80.582591
2021-10-01,2021,4,Arkansas,78.56677
2022-01-01,2022,1,Arkansas,61.404998
2022-04-01,2022,2,Arkansas,90.297947
2022-07-01,2022,3,Arkansas,104.996554
2022-10-01,2022,4,Arkansas,96.933913
2023-01-01,2023,1,Arkansas,85.646229
2023-04-01,2023,2,Arkansas,121.126821
2023-07-01,2023,3,Arkansas,117.467704
2023-10-01,2023,4,Arkansas,103.44271
2024-01-01,2024,1,Arkansas,87.139962
2024-04-01,2024,2,Arkansas,115.658326
2024-07-01,2024,3,Arkansas,117.629924
2024-10-01,2024,4,Arkansas,111.06022
2025-01-01,2025,1,Arkansas,93.315581
2025-04-01,2025,2,Arkansas,107.942509
2025-07-01,2025,3,Arkansas,115.967761
2013-01-01,2013,1,California,1403.262699
2013-04-01,2013,2,California,1604.162014
2013-07-01,2013,3,California,1394.922354
2013-10-01,2013,4,California,1488.382782
2014-01-01,2014,1,California,1329.83066
2014-04-01,2014,2,California,1373.169364
2014-07-01,2014,3,California,1396.741823
2014-10-01,2014,4,California,1418.801221
2015-01-01,2015,1,California,1676.78102
2015-04-01,2015,2,California,1910.923474
2015-07-01,2015,3,California,1899.720758
2015-10-01,2015,4,California,1873.336972
2016-01-01,2016,1,California,2000.789803
2016-04-01,2016,2,California,1905.908374
2016-07-01,2016,3,California,2112.121123
2016-10-01,2016,4,California,2142.867032
2017-01-01,2017,1,California,2136.90272
2017-04-01,2017,2,California,2299.897254
2017-07-01,2017,3,California,2280.446295
